base,var,tp,fp,fn,precision,recall,episode_recall,f1,mdt,far,n_episodes,n_alarms
0,x1,22,26,14,0.4583333333333333,0.6111111111111112,0.6111111111111112,0.5238095238095238,16.90909090909091,7.032729239924263,36,48
1,x1,27,24,7,0.5294117647058824,0.7941176470588235,0.7941176470588235,0.6352941176470589,14.518518518518519,6.497022198159177,34,51
2,x1,22,25,12,0.46808510638297873,0.6470588235294118,0.6470588235294118,0.54320987654321,16.681818181818183,6.657789613848202,34,47
3,x1,20,27,16,0.425531914893617,0.5555555555555556,0.5555555555555556,0.48192771084337355,14.3,7.4937552039966695,36,47
4,x1,19,22,16,0.4634146341463415,0.5428571428571428,0.5428571428571428,0.5,17.842105263157894,5.876068376068376,35,41
5,x1,24,24,12,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285715,16.833333333333332,6.342494714587738,36,48
6,x1,20,26,14,0.43478260869565216,0.5882352941176471,0.5882352941176471,0.5,15.65,6.887417218543046,34,46
7,x1,25,28,12,0.4716981132075472,0.6756756756756757,0.6756756756756757,0.5555555555555556,17.52,7.3956682514527206,37,53
8,x1,18,21,16,0.46153846153846156,0.5294117647058824,0.5294117647058824,0.4931506849315069,16.27777777777778,5.683355886332882,34,39
9,x1,23,21,11,0.5227272727272727,0.6764705882352942,0.6764705882352942,0.5897435897435898,17.347826086956523,5.628517823639775,34,44
10,x1,26,26,10,0.5,0.7222222222222222,0.7222222222222222,0.5909090909090908,17.26923076923077,7.1389346512905,36,52
11,x1,21,24,12,0.4666666666666667,0.6363636363636364,0.6363636363636364,0.5384615384615385,17.238095238095237,6.518196632265073,33,45
