0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
19,0,0,19,20,0,0,20,20,0,0,20,18,0,0,18
19,0,0,19,17,0,0,17,18,0,0,18,18,0,0,18
19,0,0,19,18,0,0,18,18,0,0,18,18,0,0,18
24,0,0,24,23,0,0,23,22,0,0,22,21,0,0,21
21,0,0,21,22,0,0,22,21,0,0,21,20,0,0,20
20,0,0,20,19,0,0,19,19,0,0,19,18,0,0,18
22,0,0,22,20,0,0,20,20,0,0,20,20,0,0,20
20,0,0,20,17,0,0,17,20,0,0,20,19,0,0,19
19,0,0,19,17,0,0,17,18,0,0,18,18,0,0,18
20,0,0,20,18,0,0,18,19,0,0,19,18,0,0,18
20,0,0,20,18,0,0,18,18,0,0,18,18,0,0,18
20,0,0,20,21,0,0,21,22,0,0,22,21,0,0,21
