fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,baseline,,517638,5,19.746448516845703,59048,5,2.2526283264160156,0.0
1,baseline,,513680,5,19.595462799072266,63006,5,2.403614044189453,0.0
2,baseline,,522370,5,19.926959991455078,54316,5,2.0721168518066406,0.0
3,baseline,,516713,5,19.711162567138672,59973,5,2.287914276123047,0.0
4,baseline,,516023,5,19.68484115600586,60663,5,2.3142356872558594,0.0
5,baseline,,521190,5,19.881946563720703,55496,5,2.1171302795410156,0.0
6,baseline,,519476,5,19.81656265258789,57210,5,2.182514190673828,0.0
7,baseline,,520974,5,19.873706817626953,55712,5,2.1253700256347656,0.0
8,baseline,,522247,5,19.92226791381836,54439,5,2.0768089294433594,0.0
9,baseline,,519863,5,19.83132553100586,56823,5,2.1677513122558594,0.0
