fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,baseline,,0.0,0.0,0.18256898783147335,0.003068195655941963,0.1856371834874153,517638,59048,0.0003526962623135731,5.196104281164414e-05,0.0
1,baseline,,0.0,0.0,0.01572280004620552,0.0017776396125555038,0.017500439658761024,513680,63006,3.0608160812578886e-05,2.8213814756618478e-05,0.0
2,baseline,,0.0,0.0,0.022868696600198746,0.0022608116269111633,0.02512950822710991,522370,54316,4.377873269942521e-05,4.162330854464915e-05,0.0
3,baseline,,0.0,0.0,0.015472762286663055,0.0016120430082082748,0.01708480529487133,516713,59973,2.9944596491017363e-05,2.687947923579402e-05,0.0
4,baseline,,0.0,0.0,0.0169196967035532,0.001577259972691536,0.018496956676244736,516023,60663,3.278864838108611e-05,2.600036220911488e-05,0.0
5,baseline,,0.0,0.0,0.021066194400191307,0.0021226610988378525,0.02318885549902916,521190,55496,4.0419414033637074e-05,3.824890260267141e-05,0.0
6,baseline,,0.0,0.0,0.01909777522087097,0.0019476395100355148,0.021045414730906487,519476,57210,3.676353714294976e-05,3.404369008976604e-05,0.0
7,baseline,,0.0,0.0,0.020215680822730064,0.0021061841398477554,0.02232186496257782,520974,55712,3.880362709603563e-05,3.7804856042643515e-05,0.0
8,baseline,,0.0,0.0,0.02209857665002346,0.002285260707139969,0.02438383735716343,522247,54439,4.231441568840694e-05,4.197837409100037e-05,0.0
9,baseline,,0.0,0.0,0.019124872982501984,0.0018991678953170776,0.02102404087781906,519863,56823,3.6788294190011565e-05,3.342252072782285e-05,0.0
