feature,feature_importance_mdi
left_ankle_acc_x__mean,0.09404721007604608
left_ankle_gyro_y__mean,0.0820570899705442
left_ankle_acc_x__SD,0.06412896512039616
left_ankle_gyro_y__SD,0.04088886448547524
left_ankle_gyro_x__SD,0.037789271611546806
left_ankle_acc_y__SD,0.03474329755530439
left_ankle_acc_z__SD,0.030373046065921897
left_ankle_gyro_y__mode_10,0.025940502977547953
left_ankle_gyro_y__stretch_high,0.022722807064115984
left_ankle_acc_y__low_freq_power,0.02233277109407875
left_ankle_gyro_y__high_fluctuation,0.020504527389390893
left_ankle_acc_x__acf_timescale,0.02024137470128377
left_ankle_acc_y__acf_timescale,0.01924971750740212
left_ankle_acc_x__forecast_error,0.01760966474904389
left_ankle_acc_y__centroid_freq,0.01742359669990922
left_ankle_gyro_y__ami2,0.01635870617088972
left_ankle_acc_z__low_freq_power,0.01509351737165804
left_ankle_gyro_y__low_freq_power,0.014187922236502455
left_ankle_acc_y__mean,0.01375388481958847
left_ankle_acc_x__ami2,0.013128140893288264
left_ankle_acc_x__acf_first_min,0.012796566672795702
left_ankle_acc_x__low_freq_power,0.012710275228481649
left_ankle_gyro_y__mode_5,0.012289841114152556
left_ankle_acc_y__forecast_error,0.01227536992986041
left_ankle_acc_z__mean,0.011903973658231546
left_ankle_gyro_x__acf_first_min,0.011690551974306108
left_ankle_acc_x__ami_timescale,0.011428882874442787
left_ankle_gyro_y__forecast_error,0.010988264314722893
left_ankle_gyro_x__stretch_decreasing,0.00987784003956056
left_ankle_gyro_x__mean,0.009809240873999706
left_ankle_acc_y__whiten_timescale,0.009028447374214148
left_ankle_gyro_x__acf_timescale,0.008890537591839089
left_ankle_gyro_y__acf_timescale,0.008858852317777522
left_ankle_acc_x__centroid_freq,0.008745106781267617
left_ankle_gyro_x__mode_10,0.008435299311770336
left_ankle_acc_z__whiten_timescale,0.007868276945792275
left_ankle_acc_z__acf_timescale,0.00774870386649878
left_ankle_acc_y__acf_first_min,0.007565316518001998
left_ankle_acc_x__mode_10,0.007425268854720353
left_ankle_acc_z__forecast_error,0.0073357260459086865
left_ankle_acc_z__centroid_freq,0.006956037994709515
left_ankle_gyro_x__ami2,0.006876164847744174
left_ankle_acc_x__stretch_decreasing,0.006838211804940698
left_ankle_acc_y__stretch_high,0.006622200766319868
left_ankle_gyro_y__centroid_freq,0.006275260556466174
left_ankle_gyro_x__ami_timescale,0.0062158649285588025
left_ankle_acc_z__high_fluctuation,0.005669008034357126
left_ankle_gyro_y__entropy_pairs,0.005632099758738088
left_ankle_acc_y__embedding_dist,0.005451750038386113
left_ankle_acc_x__transition_matrix,0.005442468475461529
