fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,catch24,,0.0,0.0,0.3784483093768358,0.050486644729971886,0.4289349541068077,515316,58790,0.0007344004637481387,0.0008587624550088771,2891.266839420423
1,catch24,,0.0,0.0,0.36519235372543335,0.044234538450837135,0.4094268921762705,511358,62748,0.0007141618078243293,0.0007049553523751695,2891.266839420423
2,catch24,,0.0,0.0,0.3627795707434416,0.036778686568140984,0.39955825731158257,520048,54058,0.0006975886278640463,0.0006803560355200152,2891.266839420423
3,catch24,,0.0,0.0,0.3700277879834175,0.04200543649494648,0.412033224478364,514391,59715,0.0007193512094562649,0.0007034319098207566,2891.266839420423
4,catch24,,0.0,0.0,0.3558414075523615,0.04107163846492767,0.39691304601728916,513701,60405,0.0006927014110394208,0.0006799377280842261,2891.266839420423
5,catch24,,0.0,0.0,0.4288811907172203,0.042720697820186615,0.4716018885374069,518868,55238,0.000826570901881057,0.0007733932767331658,2891.266839420423
6,catch24,,0.0,0.0,0.37051405012607574,0.04080100171267986,0.4113150518387556,517154,56952,0.0007164481955589162,0.0007164103405091983,2891.266839420423
7,catch24,,0.0,0.0,0.48278078623116016,0.04764740727841854,0.5304281935095787,518652,55454,0.0009308376063934202,0.0008592239924697685,2891.266839420423
8,catch24,,0.0,0.0,0.6030652299523354,0.0627769622951746,0.66584219224751,519925,54181,0.0011599081212719821,0.0011586527065793285,2891.266839420423
9,catch24,,0.0,0.0,0.5283008851110935,0.05767162702977657,0.5859725121408701,517541,56565,0.0010207904013616188,0.0010195638120706545,2891.266839420423
