fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,catch24_drift,HDDMAverage,515316,130,511.101505279541,58790,130,58.30929946899414,525.6122589111328
1,catch24_drift,HDDMAverage,511358,130,507.17587661743164,62748,130,62.234928131103516,525.6122589111328
2,catch24_drift,HDDMAverage,520048,130,515.7948036193848,54058,130,53.61600112915039,525.6122589111328
3,catch24_drift,HDDMAverage,514391,130,510.1840705871582,59715,130,59.22673416137695,525.6122589111328
4,catch24_drift,HDDMAverage,513701,130,509.4997138977051,60405,130,59.91109085083008,525.6122589111328
5,catch24_drift,HDDMAverage,518868,130,514.624454498291,55238,130,54.78635025024414,525.6122589111328
6,catch24_drift,HDDMAverage,517154,130,512.9244728088379,56952,130,56.486331939697266,525.6122589111328
7,catch24_drift,HDDMAverage,518652,130,514.4102210998535,55454,130,55.00058364868164,525.6122589111328
8,catch24_drift,HDDMAverage,519925,130,515.6728096008301,54181,130,53.73799514770508,525.6122589111328
9,catch24_drift,HDDMAverage,517541,130,513.3083076477051,56565,130,56.10249710083008,525.6122589111328
