fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,catch24,,515676,120,472.11560440063477,58830,120,53.860599517822266,525.9784698486328
1,catch24,,511718,120,468.49194717407227,62788,120,57.484256744384766,525.9784698486328
2,catch24,,520408,120,476.44787979125977,54098,120,49.528324127197266,525.9784698486328
3,catch24,,514751,120,471.268741607666,59755,120,54.707462310791016,525.9784698486328
4,catch24,,514061,120,470.6370277404785,60445,120,55.339176177978516,525.9784698486328
5,catch24,,519228,120,475.36755752563477,55278,120,50.608646392822266,525.9784698486328
6,catch24,,517514,120,473.79834365844727,56992,120,52.177860260009766,525.9784698486328
7,catch24,,519012,120,475.16980361938477,55494,120,50.806400299072266,525.9784698486328
8,catch24,,520285,120,476.3352699279785,54221,120,49.640933990478516,525.9784698486328
9,catch24,,517901,120,474.1526527404785,56605,120,51.823551177978516,525.9784698486328
