feature,feature_importance_mdi
score_left_wrist_gyro_x,0.10129321614020319
score_left_wrist_acc_z,0.08821001026106133
left_wrist_gyro_y__mean,0.07396786645012239
score_left_wrist_acc_y,0.06690116156579277
score_left_wrist_gyro_y,0.060949172090617086
left_wrist_acc_x__SD,0.05592042878040528
score_left_wrist_acc_x,0.05503793694110978
left_wrist_acc_x__mean,0.04217481524473357
left_wrist_gyro_y__SD,0.03882451796616784
left_wrist_gyro_x__SD,0.03599505273254083
left_wrist_gyro_x__mean,0.03322988905004912
left_wrist_acc_y__SD,0.026934627316094632
left_wrist_acc_z__SD,0.022458408135458695
left_wrist_acc_x,0.018426660594670602
left_wrist_acc_z,0.01831548735021442
left_wrist_acc_z__mean,0.01706398476981291
left_wrist_gyro_x__stretch_decreasing,0.014786290796765605
left_wrist_gyro_y,0.013406351278243907
left_wrist_acc_y__mode_10,0.01166106342833197
left_wrist_acc_y__mean,0.009483655773952358
left_wrist_acc_x__centroid_freq,0.009410945560256718
left_wrist_acc_x__ami2,0.00930643682840537
left_wrist_gyro_x__ami2,0.008462067667074904
left_wrist_acc_x__entropy_pairs,0.00795859443497302
left_wrist_acc_x__high_fluctuation,0.007732736476117861
left_wrist_acc_x__acf_timescale,0.007397551143793762
left_wrist_acc_x__acf_first_min,0.0071497342664945205
left_wrist_gyro_y__stretch_decreasing,0.006937167606142558
left_wrist_gyro_x__forecast_error,0.006515848491188458
left_wrist_gyro_y__entropy_pairs,0.005814036242095134
left_wrist_gyro_x__entropy_pairs,0.005650699901758513
left_wrist_gyro_x__acf_first_min,0.005598313437190071
left_wrist_acc_x__forecast_error,0.005177474140515075
left_wrist_gyro_x__low_freq_power,0.004770980590804207
left_wrist_gyro_x__acf_timescale,0.004133170799764058
left_wrist_gyro_y__low_freq_power,0.003927676171940182
left_wrist_gyro_x__centroid_freq,0.00371858097873214
left_wrist_acc_z__acf_timescale,0.0034422021413320738
left_wrist_acc_z__ami_timescale,0.0034075023678886603
left_wrist_acc_x__periodicity,0.00338827780472941
left_wrist_gyro_y__ami2,0.003075690763702854
left_wrist_gyro_y__centroid_freq,0.0030651874197548073
left_wrist_acc_y__mode_5,0.0030477729928405526
left_wrist_acc_x__stretch_high,0.0029668684225590794
left_wrist_acc_y__whiten_timescale,0.0029422322479041754
left_wrist_acc_z__high_fluctuation,0.0028665304546371217
left_wrist_gyro_y__forecast_error,0.002822275469700384
left_wrist_acc_y,0.0026656978163125174
left_wrist_acc_y__high_fluctuation,0.0026346493770177427
