fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,9.111938847228885,517638,0.0176029171877429
1,baseline,,9.080230083316565,513680,0.0176768223082786
2,baseline,,8.636604091152549,522370,0.016533499418329
3,baseline,,8.534690011292696,516713,0.0165172736340922
4,baseline,,9.24193468876183,516023,0.0179099278302746
5,baseline,,8.64754744619131,521190,0.0165919289437466
6,baseline,,8.591824205592275,519476,0.0165394054885928
7,baseline,,8.907074648886919,520974,0.0170969657773457
8,baseline,,8.98694852925837,522247,0.0172082338993969
9,baseline,,8.917272806167603,519863,0.0171531207379013
0,catch24,,42.054268358275294,515676,0.0815517269725085
1,catch24,,40.24234172143042,511718,0.0786416380143563
2,catch24,,40.88531910814345,520408,0.0785639711690509
3,catch24,,41.432592401281,514751,0.0804905525220563
4,catch24,,41.43236183188856,514061,0.0805981426949108
5,catch24,,41.2225936409086,519228,0.0793920852513897
6,catch24,,40.36138913594186,517514,0.0779909125858273
7,catch24,,40.91796474717557,519012,0.0788381862985356
8,catch24,,40.86523885652423,520285,0.0785439496747441
9,catch24,,42.83734909631312,517901,0.0827133932861939
0,drift,GeometricMovingAverage,5.84490536339581,517638,0.0112914920531255
1,drift,GeometricMovingAverage,5.928487835451961,513680,0.0115412082141643
2,drift,GeometricMovingAverage,5.969546835869551,522370,0.0114278133044959
3,drift,GeometricMovingAverage,6.24427299387753,516713,0.0120846059492939
4,drift,GeometricMovingAverage,6.325879193842411,516023,0.0122589093777649
5,drift,GeometricMovingAverage,5.792280720546842,521190,0.0111135684118015
6,drift,GeometricMovingAverage,6.456994554027915,519476,0.0124298226559608
7,drift,GeometricMovingAverage,5.726424247026444,520974,0.0109917658981569
8,drift,GeometricMovingAverage,6.397261127829552,522247,0.0122494933007361
9,drift,GeometricMovingAverage,6.260326765477657,519863,0.0120422626066437
0,catch24_drift,KSWIN,26.92690364830196,515676,0.0522167090349404
1,catch24_drift,KSWIN,25.814486788585786,511718,0.0504467046079789
2,catch24_drift,KSWIN,25.86126352660358,520408,0.0496942082493035
3,catch24_drift,KSWIN,25.43583432212472,514751,0.0494138609194051
4,catch24_drift,KSWIN,25.65206241421401,514061,0.0499008141333694
5,catch24_drift,KSWIN,25.485618632286787,519228,0.0490836754417843
6,catch24_drift,KSWIN,26.01212860457599,517514,0.0502636230219394
7,catch24_drift,KSWIN,26.254070285707712,519012,0.0505847076478149
8,catch24_drift,KSWIN,28.56709269247949,520285,0.0549066236629529
9,catch24_drift,KSWIN,25.596006840467453,517901,0.0494225862480811
