fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,baseline,,0.0,0.0,0.23353131487965584,0.0031573325395584106,0.23668864741921425,517638,59048,0.000451147935197292,5.34706093273e-05,0.0
1,baseline,,0.0,0.0,0.018705908209085464,0.0018778331577777863,0.02058374136686325,513680,63006,3.6415488648741366e-05,2.9804037040564173e-05,0.0
2,baseline,,0.0,0.0,0.015984736382961273,0.001605100929737091,0.017589837312698364,522370,54316,3.060041040442842e-05,2.955116226778649e-05,0.0
3,baseline,,0.0,0.0,0.021018018946051598,0.0023910310119390488,0.023409049957990646,516713,59973,4.067638891619061e-05,3.9868457671603034e-05,0.0
4,baseline,,0.0,0.0,0.015879973769187927,0.00156431645154953,0.017444290220737457,516023,60663,3.0773771264435745e-05,2.578699456916951e-05,0.0
5,baseline,,0.0,0.0,0.015592573210597038,0.0015594959259033203,0.01715206913650036,521190,55496,2.9917253229334865e-05,2.8101050992924182e-05,0.0
6,baseline,,0.0,0.0,0.017591793090105057,0.002213072031736374,0.01980486512184143,519476,57210,3.386449631957021e-05,3.8683307668875615e-05,0.0
7,baseline,,0.0,0.0,0.01626710593700409,0.0015643145889043808,0.01783142052590847,520974,55712,3.1224410310311245e-05,2.8078593281597875e-05,0.0
8,baseline,,0.0,0.0,0.01604221574962139,0.0015251319855451584,0.01756734773516655,522247,54439,3.071767908599071e-05,2.801542984891637e-05,0.0
9,baseline,,0.0,0.0,0.015637414529919624,0.002043427899479866,0.01768084242939949,519863,56823,3.007987590946004e-05,3.596128151417324e-05,0.0
