fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,7.784927083179355,517638,0.015039326871634916
1,baseline,,7.319065677002072,513680,0.014248297922835369
2,baseline,,8.23066771775484,522370,0.015756394352192584
3,baseline,,8.014833817258477,516713,0.015511190578248422
4,baseline,,7.747583582997322,516023,0.015014027636359856
5,baseline,,7.440466525033116,521190,0.014275919578336339
6,baseline,,7.683623440563679,519476,0.014791103805688191
7,baseline,,7.999469419941306,520974,0.015354834252652352
8,baseline,,8.119113625958562,522247,0.015546501226351825
9,baseline,,8.124786537140608,519863,0.015628707057706758
