feature,feature_importance_mdi
right_ankle_acc_x__mean,0.09153787284117525
right_ankle_gyro_y__mean,0.07104057788936555
right_ankle_acc_x__SD,0.06741642094923907
right_ankle_acc_y__SD,0.04586839999989545
right_ankle_gyro_y__SD,0.03761099740110941
right_ankle_acc_z__SD,0.03243630611232157
right_ankle_gyro_x__SD,0.027046332103853384
right_ankle_gyro_y__mode_10,0.026667990840024264
right_ankle_acc_y__low_freq_power,0.026051381567163485
right_ankle_acc_y__acf_timescale,0.025369385774378476
right_ankle_acc_y__forecast_error,0.020161974802763844
right_ankle_acc_y__centroid_freq,0.01906606561085877
right_ankle_acc_x__acf_first_min,0.01874068257434531
right_ankle_gyro_y__stretch_high,0.018484091416489972
right_ankle_acc_x__acf_timescale,0.01812692280145272
right_ankle_gyro_y__high_fluctuation,0.016755329523031347
right_ankle_gyro_y__ami2,0.016658268852586287
right_ankle_acc_x__low_freq_power,0.01535236914578087
right_ankle_gyro_y__mode_5,0.014620769839293935
right_ankle_acc_x__ami_timescale,0.014358959108094926
right_ankle_acc_x__forecast_error,0.013155976715947202
right_ankle_gyro_y__low_freq_power,0.01274236963026799
right_ankle_acc_y__whiten_timescale,0.012684926097388341
right_ankle_acc_y__mean,0.012599006066868004
right_ankle_gyro_y__acf_timescale,0.012422792946856775
right_ankle_gyro_y__forecast_error,0.012086071846759267
right_ankle_gyro_x__acf_first_min,0.011962678631922272
right_ankle_gyro_x__acf_timescale,0.010943626782290931
right_ankle_acc_z__low_freq_power,0.010939199284660268
right_ankle_acc_y__entropy_pairs,0.01021796175022376
right_ankle_acc_x__stretch_decreasing,0.010138019734375538
right_ankle_acc_x__ami2,0.010083808819280617
right_ankle_acc_y__high_fluctuation,0.009763939073095251
right_ankle_acc_z__mean,0.00959028592561463
right_ankle_acc_z__forecast_error,0.009219471581536538
right_ankle_acc_z__high_fluctuation,0.00889553333568292
right_ankle_acc_x__centroid_freq,0.008267402735029869
right_ankle_acc_x__transition_matrix,0.008078298345956851
right_ankle_acc_z__whiten_timescale,0.008002175933918412
right_ankle_gyro_x__stretch_decreasing,0.007568233380996393
right_ankle_acc_y__acf_first_min,0.007510925680774086
right_ankle_gyro_y__entropy_pairs,0.00719450297973572
right_ankle_gyro_y__centroid_freq,0.007080716583467081
right_ankle_acc_z__acf_timescale,0.006717894682683565
right_ankle_gyro_x__ami_timescale,0.006588167241924155
right_ankle_acc_z__centroid_freq,0.006202180008958528
right_ankle_gyro_x__forecast_error,0.006130288085599239
right_ankle_acc_y__embedding_dist,0.0059453103180553135
right_ankle_acc_y__periodicity,0.005519099953423544
right_ankle_gyro_x__ami2,0.0054827509306790015
right_ankle_gyro_x__mean,0.005394885765272856
right_ankle_acc_x__periodicity,0.0050616167184803175
right_ankle_gyro_x__low_freq_power,0.004907475481771181
right_ankle_acc_y__trev,0.004752251011586813
right_ankle_gyro_y__acf_first_min,0.004178043710718036
right_ankle_acc_y__ami2,0.004076681985499797
right_ankle_acc_z__acf_first_min,0.004060828109111565
right_ankle_acc_x__mode_10,0.003800109071978941
right_ankle_acc_x__high_fluctuation,0.003738257075529828
right_ankle_acc_y__transition_matrix,0.0036363258876152167
right_ankle_acc_y__ami_timescale,0.0034796958851197515
right_ankle_gyro_x__mode_10,0.003404588835143825
right_ankle_acc_y__stretch_high,0.003303784490948544
right_ankle_acc_z__ami2,0.0032720310828644105
right_ankle_acc_z__ami_timescale,0.0028225923686722152
right_ankle_acc_y__rs_range,0.002820665365176694
right_ankle_gyro_x__entropy_pairs,0.002692935254652775
right_ankle_acc_x__embedding_dist,0.002674015588148601
right_ankle_acc_z__mode_10,0.0025594616602457464
right_ankle_acc_z__periodicity,0.002516160142804005
right_ankle_acc_x__whiten_timescale,0.0023766841610075194
right_ankle_gyro_y__ami_timescale,0.0021854105989310454
right_ankle_acc_x__entropy_pairs,0.0020985186417770583
right_ankle_acc_x__dfa,0.001948865420864371
right_ankle_acc_x__stretch_high,0.0018868181471460054
right_ankle_gyro_x__mode_5,0.0018457312439969543
right_ankle_gyro_x__centroid_freq,0.0016390403064409078
right_ankle_acc_y__stretch_decreasing,0.0014834231970903189
right_ankle_acc_x__mode_5,0.0013811352767750709
right_ankle_acc_z__entropy_pairs,0.0011832062099998214
right_ankle_acc_x__trev,0.0010052618704284992
right_ankle_gyro_x__stretch_high,0.0009186383948310236
right_ankle_acc_z__stretch_high,0.0009185027742288669
right_ankle_gyro_y__embedding_dist,0.0008010375362095336
right_ankle_gyro_y__whiten_timescale,0.0007572726569316029
right_ankle_acc_y__dfa,0.0007373765662737468
