fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,baseline,,0.0,0.0,0.2335313148796558,0.0031573325395584,0.2366886474192142,517638,59048,0.0004511479351972,5.34706093273e-05,0.0
1,baseline,,0.0,0.0,0.0187059082090854,0.0018778331577777,0.0205837413668632,513680,63006,3.6415488648741366e-05,2.9804037040564173e-05,0.0
2,baseline,,0.0,0.0,0.0159847363829612,0.001605100929737,0.0175898373126983,522370,54316,3.060041040442842e-05,2.955116226778649e-05,0.0
3,baseline,,0.0,0.0,0.0210180189460515,0.002391031011939,0.0234090499579906,516713,59973,4.067638891619061e-05,3.986845767160304e-05,0.0
4,baseline,,0.0,0.0,0.0158799737691879,0.0015643164515495,0.0174442902207374,516023,60663,3.0773771264435745e-05,2.578699456916951e-05,0.0
5,baseline,,0.0,0.0,0.015592573210597,0.0015594959259033,0.0171520691365003,521190,55496,2.9917253229334865e-05,2.8101050992924185e-05,0.0
6,baseline,,0.0,0.0,0.017591793090105,0.0022130720317363,0.0198048651218414,519476,57210,3.386449631957021e-05,3.8683307668875615e-05,0.0
7,baseline,,0.0,0.0,0.016267105937004,0.0015643145889043,0.0178314205259084,520974,55712,3.1224410310311245e-05,2.8078593281597875e-05,0.0
8,baseline,,0.0,0.0,0.0160422157496213,0.0015251319855451,0.0175673477351665,522247,54439,3.071767908599071e-05,2.801542984891637e-05,0.0
9,baseline,,0.0,0.0,0.0156374145299196,0.0020434278994798,0.0176808424293994,519863,56823,3.007987590946004e-05,3.596128151417324e-05,0.0
0,catch24,,0.0,0.0,0.3798651620745659,0.0455797314643859,0.4254448935389519,515316,58790,0.0007371499469734,0.0007752973543865,2888.446180863306
1,catch24,,0.0,0.0,0.3615611940622329,0.0440694727003574,0.4056306667625904,511358,62748,0.0007070607951029,0.0007023247386427,2888.446180863306
2,catch24,,0.0,0.0,0.4639832600951195,0.0476621314883232,0.5116453915834427,520048,54058,0.0008921931438927,0.0008816850695239,2888.446180863306
3,catch24,,0.0,0.0,0.5063217114657164,0.0596058275550603,0.5659275390207767,514391,59715,0.000984312928231,0.0009981717751831,2888.446180863306
4,catch24,,0.0,0.0,0.4855261389166116,0.0589419119060039,0.5444680508226156,513701,60405,0.0009451531901176,0.0009757786922606,2888.446180863306
5,catch24,,0.0,0.0,0.4224969688802957,0.0445005651563406,0.4669975340366363,518868,55238,0.0008142667670395,0.0008056150685459,2888.446180863306
6,catch24,,0.0,0.0,0.4444807525724172,0.0575724877417087,0.502053240314126,517154,56952,0.0008594746488906,0.0010108949245278,2888.446180863306
7,catch24,,0.0,0.0,0.4284193757921457,0.0547201484441757,0.4831395242363214,518652,55454,0.0008260247252341,0.0009867664811226,2888.446180863306
8,catch24,,0.0,0.0,0.4498840924352407,0.0531871225684881,0.5030712150037289,519925,54181,0.0008652865171615,0.0009816563475847,2888.446180863306
9,catch24,,0.0,0.0,0.6133356932550669,0.0552335530519485,0.6685692463070154,517541,56565,0.0011850958537682,0.0009764616468124,2888.446180863306
0,drift,GeometricMovingAverage,0.0356850642710924,20.472128918394446,2.384885441511869,0.2743033226579427,23.16700274683535,517638,59048,0.0046072456842655,0.0046454295261133,0.0
1,drift,GeometricMovingAverage,0.0467597246170043,20.48742468841374,2.3411955647170544,0.305043239146471,23.18042321689427,513680,63006,0.0045576926583029,0.0048414950821583,0.0
