fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,catch24,,0.0,0.0,0.3681128565222025,0.042266933247447014,0.4103797897696495,515316,58790,0.0007143439297871646,0.0007189476653758635,2882.157203869894
1,catch24,,0.0,0.0,0.360462948679924,0.042921775951981544,0.40338472463190556,511358,62748,0.0007049130915717051,0.0006840341676544519,2882.157203869894
2,catch24,,0.0,0.0,0.36358979530632496,0.037916140630841255,0.4015059359371662,520048,54058,0.0006991466082098671,0.000701397399660388,2882.157203869894
3,catch24,,0.0,0.0,0.6458232682198286,0.08125752583146095,0.7270807940512896,514391,59715,0.001255510435096704,0.0013607556867028545,2882.157203869894
4,catch24,,0.0,0.0,0.40358742140233517,0.04319213703274727,0.44677955843508244,513701,60405,0.0007856465558804347,0.000715042414249603,2882.157203869894
5,catch24,,0.0,0.0,0.46312674321234226,0.04512202739715576,0.508248770609498,518868,55238,0.000892571411635218,0.0008168656974755741,2882.157203869894
6,catch24,,0.0,0.0,0.4100266918540001,0.05903618410229683,0.4690628759562969,517154,56952,0.0007928522100844237,0.0010365954505951824,2882.157203869894
7,catch24,,0.0,0.0,0.4456306640058756,0.047736311331391335,0.4933669753372669,518652,55454,0.0008592093812534717,0.0008608271960794773,2882.157203869894
8,catch24,,0.0,0.0,0.4218075443059206,0.04627436213195324,0.46808190643787384,519925,54181,0.0008112853667469743,0.0008540699162428386,2882.157203869894
9,catch24,,0.0,0.0,0.37357359379529953,0.04860522411763668,0.4221788179129362,517541,56565,0.0007218241526667443,0.0008592809001615253,2882.157203869894
