fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,catch24,,0.0,0.0,0.3951448630541563,0.04609375447034836,0.44123861752450466,515316,58790,0.0007668010755617064,0.0007840407292115727,2909.8861111383885
1,catch24,,0.0,0.0,0.3628199156373739,0.048908935859799385,0.4117288514971733,511358,62748,0.0007095223222035715,0.0007794501156977016,2909.8861111383885
2,catch24,,0.0,0.0,0.36567145958542824,0.04100322350859642,0.40667468309402466,520048,54058,0.0007031494392545077,0.0007585042640977546,2909.8861111383885
3,catch24,,0.0,0.0,0.370183102786541,0.04529443755745888,0.41547754034399986,514391,59715,0.0007196531486486758,0.0007585102161510321,2909.8861111383885
4,catch24,,0.0,0.0,0.35841257497668266,0.04390665888786316,0.4023192338645458,513701,60405,0.0006977065938681892,0.0007268712670782743,2909.8861111383885
5,catch24,,0.0,0.0,0.36557271890342236,0.04148486070334911,0.40705757960677147,518868,55238,0.000704558228496308,0.0007510203248370527,2909.8861111383885
6,catch24,,0.0,0.0,0.373701935634017,0.04030410014092922,0.4140060357749462,517154,56952,0.0007226124822277639,0.0007076854217749898,2909.8861111383885
7,catch24,,0.0,0.0,0.3604786079376936,0.04019654355943203,0.4006751514971256,518652,55454,0.0006950298233453136,0.0007248628333291022,2909.8861111383885
8,catch24,,0.0,0.0,0.3762810956686735,0.04193360172212124,0.41821469739079475,519925,54181,0.0007237218746332135,0.000773954000888157,2909.8861111383885
9,catch24,,0.0,0.0,0.36035342514514923,0.0421745590865612,0.40252798423171043,517541,56565,0.0006962799568442871,0.0007455946095034244,2909.8861111383885
