fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,drift,PageHinkley,0.012214401736855507,4.165371851995587,2.3757960312068462,0.26867761462926865,6.822059899568558,517638,59048,0.004589686288886918,0.0045501560531985615,0.0
1,drift,PageHinkley,0.011766709387302399,4.184213407337666,2.4890248998999596,0.28361741080880165,6.968622427433729,513680,63006,0.004845477534457171,0.004501434955540768,0.0
2,drift,PageHinkley,0.012449143454432487,4.152040064334869,2.3557880241423845,0.24490264989435673,6.765179881826043,522370,54316,0.0045098072709810755,0.004508849140112614,0.0
3,drift,PageHinkley,0.012350523844361305,4.146229904145002,2.317225769162178,0.2696731835603714,6.745479380711913,516713,59973,0.004484550938649072,0.004496576518772971,0.0
4,drift,PageHinkley,0.011674584820866585,4.139226000756025,2.3798992969095707,0.27848678082227707,6.80928666330874,516023,60663,0.004612002365998358,0.004590718903158055,0.0
5,drift,PageHinkley,0.012133868411183357,4.154528943821788,2.40841163136065,0.25526673905551434,6.830341182649136,521190,55496,0.004620985881081084,0.00459973221593474,0.0
6,drift,PageHinkley,0.012350384145975113,4.15542658418417,2.332925634458661,0.2584718856960535,6.7591744884848595,519476,57210,0.004490920917344904,0.004517949409125214,0.0
7,drift,PageHinkley,0.011706922203302383,4.144933147355914,2.335239499807358,0.2497500367462635,6.741629606112838,520974,55712,0.004482449219744858,0.004482876880138274,0.0
8,drift,PageHinkley,0.012151539325714111,4.119088254868984,2.434391053393483,0.25120736844837666,6.816838216036558,522247,54439,0.004661378721933267,0.0046144743373018726,0.0
9,drift,PageHinkley,0.011921126395463943,4.156386135146022,2.3228439539670944,0.25317783653736115,6.744329052045941,519863,56823,0.00446818479862405,0.004455552092240135,0.0
