fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,drift,PageHinkley,9.682068835943937,517638,0.018704323940560656
1,drift,PageHinkley,9.39748609624803,513680,0.01829443641225672
2,drift,PageHinkley,9.22593335621059,522370,0.01766168301435877
3,drift,PageHinkley,9.468391241505742,516713,0.018324275258229893
4,drift,PageHinkley,8.765589464455843,516023,0.016986819317076646
5,drift,PageHinkley,9.784944992512465,521190,0.01877423778758699
6,drift,PageHinkley,9.60696567595005,519476,0.018493569820261284
7,drift,PageHinkley,9.427338805049658,520974,0.01809560324517089
8,drift,PageHinkley,9.649970293045044,522247,0.018477789806442248
9,drift,PageHinkley,9.240577170625329,519863,0.017775023747843816
