dataset,label,cenario,detector,extracao,std_extracao,treinamento
mhealth,MH,drift,HDDMAverage,353.16310406289995,0.0,0.0467834311557503
mhealth,MH,catch24,,2254.37816593796,0.0,0.3673071587859581
mhealth,MH,catch24_drift,HDDMAverage,3117.960794772953,0.0,0.272912525215695
rs,DR,drift,ADWIN,9.79521826095879,0.0,0.0150253816005772
rs,DR,catch24,,73.54270015284419,0.0,0.0652036713499804
rs,DR,catch24_drift,ADWIN,83.59936366416514,0.0,0.0385778452677128
gait,Gait,drift,KSWIN,24.92755182646215,0.0,0.0220875212595517
gait,Gait,catch24,,100.73368357121944,0.0,0.0571080143569958
gait,Gait,catch24_drift,KSWIN,125.89772206358612,0.0,0.0893479779885111
pamap2_hand,P2-Hand,drift,SEED,259.46071699261665,0.0,0.0333059191499868
pamap2_hand,P2-Hand,catch24,,3607.048468004912,0.0,0.1375799518395
pamap2_hand,P2-Hand,catch24_drift,HDDMAverage,3870.574810400605,0.0,0.1365971733811704
pamap2_chest,P2-Chest,drift,GeometricMovingAverage,244.4299209117889,0.0,0.0266277891762513
pamap2_chest,P2-Chest,catch24,,3575.2548210807145,0.0,0.153062941076279
pamap2_chest,P2-Chest,catch24_drift,GeometricMovingAverage,3828.277861870825,0.0,0.1126455629952478
pamap2_ankle,P2-Ankle,drift,KSWIN,8858.780409036204,0.0,0.0491773541279984
pamap2_ankle,P2-Ankle,catch24,,3601.5411952249706,0.0,0.1468184333348922
pamap2_ankle,P2-Ankle,catch24_drift,KSWIN,12455.196819061412,0.0,0.15948864855999
occ,RO,drift,HDDMWeighted,14.674129808321595,0.0,0.0457894655125183
occ,RO,catch24,,5.160382838919759,0.0,0.0619851445281293
occ,RO,catch24_drift,SEED,19.650006152689457,0.0,0.0936770184217332
smartphone,SmPh,drift,CUSUM,401.40456182695925,0.0,0.0797744437919274
smartphone,SmPh,catch24,,3273.0012336671352,0.0,0.0979655764396271
smartphone,SmPh,catch24_drift,CUSUM,5287.501998897642,0.0,0.1553539114316491
usc,USC,drift,PageHinkley,52.04525521583855,0.0,0.0092190746996346
usc,USC,catch24,,3388.81023876369,0.0,0.0895173599212168
usc,USC,catch24_drift,PageHinkley,3446.968704784289,0.0,0.0728206689265166
W-RAnkle,W-RAnkle,drift,GeometricMovingAverage,231.23608013428748,0.0,0.0188444587427286
W-RAnkle,W-RAnkle,catch24,,2893.523128164932,0.0,0.081580696180725
W-RAnkle,W-RAnkle,catch24_drift,CUSUM,3129.53029964678,0.0,0.055114322299347
W-LWrist,W-LWrist,drift,GeometricMovingAverage,232.02368840388957,0.0,0.0117430941772144
W-LWrist,W-LWrist,catch24,,1917.443882735446,0.0,0.0797324558469573
W-LWrist,W-LWrist,catch24_drift,KSWIN,7703.7029201723635,0.0,0.050593351296757
W-RWrist,W-RWrist,drift,GeometricMovingAverage,230.3341793101281,0.0,0.0136065547635321
W-RWrist,W-RWrist,catch24,,2886.907274018973,0.0,0.0934245695818602
W-RWrist,W-RWrist,catch24_drift,KSWIN,8705.334996517748,0.0,0.0599306790770188
W-Waist,W-Waist,drift,PageHinkley,68.00294079817832,0.0,0.0181587762349787
W-Waist,W-Waist,catch24,,2914.006031513214,0.0,0.0665356699690119
W-Waist,W-Waist,catch24_drift,GeometricMovingAverage,3145.74201891385,0.0,0.0643764144543488
W-LAnkle,W-LAnkle,drift,CUSUM,226.86416373960677,0.0,0.0106502074281458
W-LAnkle,W-LAnkle,catch24,,2895.978865632788,0.0,0.0693231936395822
W-LAnkle,W-LAnkle,catch24_drift,HDDMAverage,3131.494591088965,0.0,0.1001614815739617
sw,Sw,drift,CUSUM,142.4663908202201,0.0,0.024578448211234
sw,Sw,catch24,,1518.5079429522157,0.0,0.847408813069383
sw,Sw,catch24_drift,GeometricMovingAverage,1665.2992182765156,0.0,0.8479078338469613
sp,Sp,drift,PageHinkley,39.49376919679344,0.0,0.0512799060500338
sp,Sp,catch24,,1514.3202274162322,0.0,0.8563305906969177
sp,Sp,catch24_drift,SEED,1667.0352003462613,0.0,0.3846945201183389
