fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,0.6383126005530357,27270,0.023407136067218032
1,baseline,,0.5758189335465431,27270,0.021115472443950976
2,baseline,,0.466343292966485,27270,0.01710096417185497
3,baseline,,0.48100878670811653,27270,0.017638752721236398
4,baseline,,0.4929297361522913,27270,0.01807589791537555
5,baseline,,0.45854021422564983,27270,0.01681482267054088
6,baseline,,0.46151225827634335,27270,0.01692380851765102
7,baseline,,0.49834213219583035,27270,0.018274372284408886
8,baseline,,0.48953760974109173,27270,0.017951507507924156
9,baseline,,0.4823851939290762,27270,0.017689226033336128
