fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,catch24_drift,KSWIN,0.009150655940175056,2.3017129972577095,0.2002349030226469,0.022077742964029312,2.5331762991845608,26469,2941,0.007564883562758204,0.007506883020751211,100.62414285540581
1,catch24_drift,KSWIN,0.007131703197956085,2.3066014517098665,0.1836366020143032,0.020252877846360207,2.517622634768486,26469,2941,0.006937799010703208,0.006886391651261546,100.62414285540581
2,catch24_drift,KSWIN,0.007246248424053192,2.3167690131813288,0.1831065397709608,0.02013317123055458,2.5272549726068974,26469,2941,0.006917773235519317,0.006845688959726141,100.62414285540581
3,catch24_drift,KSWIN,0.006970446556806564,2.2910654451698065,0.1763442400842905,0.01992274634540081,2.4943028781563044,26469,2941,0.006662293251890532,0.006774140205848626,100.62414285540581
4,catch24_drift,KSWIN,0.006953895092010498,2.3177156765013933,0.17338336445391178,0.019161833450198174,2.5172147694975138,26469,2941,0.006550431238577649,0.0065154142979252545,100.62414285540581
5,catch24_drift,KSWIN,0.007135411724448204,2.343935552984476,0.17714857310056686,0.0198040921241045,2.5480236299335957,26469,2941,0.006692680989102983,0.006733795349916525,100.62414285540581
6,catch24_drift,KSWIN,0.007592519745230675,2.367196498438716,0.19451035931706429,0.021332141011953354,2.5906315185129642,26469,2941,0.007348610046358543,0.007253363145852892,100.62414285540581
7,catch24_drift,KSWIN,0.007192263379693031,2.282206540927291,0.18061710894107819,0.019753601402044296,2.4897695146501064,26469,2941,0.006823722427786398,0.006716627474343521,100.62414285540581
8,catch24_drift,KSWIN,0.007727941498160362,2.298366067931056,0.19425401836633682,0.02131628803908825,2.5216643158346415,26469,2941,0.007338925473812264,0.007247972811658704,100.62414285540581
9,catch24_drift,KSWIN,0.00702485628426075,2.3223731238394976,0.1833103522658348,0.02121034264564514,2.5339186750352383,26469,2941,0.006925473280661711,0.007211949216472336,100.62414285540581
