fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,baseline,,0.0,0.0,0.0056471638381481,0.0006115157157182,0.0062586795538663,27270,3030,0.0002070833824036,0.0002018203682238,0.0
1,baseline,,0.0,0.0,0.0049259290099143,0.0005248468369245,0.0054507758468389,27270,3030,0.0001806354605762,0.0001732167778628,0.0
2,baseline,,0.0,0.0,0.0057045724242925,0.000525752082467,0.0062303245067596,27270,3030,0.0002091885744148,0.000173515538768,0.0
3,baseline,,0.0,0.0,0.0053733233362436,0.0005696825683116,0.0059430059045553,27270,3030,0.0001970415598182,0.0001880140489477,0.0
4,baseline,,0.0,0.0,0.0051337722688913,0.0005269404500722,0.0056607127189636,27270,3030,0.0001882571422402,0.0001739077392977,0.0
5,baseline,,0.0,0.0,0.0049609187990427,0.0005228202790021,0.0054837390780448,27270,3030,0.0001819185478196,0.0001725479468654,0.0
6,baseline,,0.0,0.0,0.0048933830112218,0.0005115773528814,0.0054049603641033,27270,3030,0.0001794419879435,0.0001688374101918,0.0
7,baseline,,0.0,0.0,0.0049689523875713,0.0004989318549633,0.0054678842425346,27270,3030,0.0001822131421918,0.0001646639785357,0.0
8,baseline,,0.0,0.0,0.0055613312870264,0.000546982511878,0.0061083137989044,27270,3030,0.0002039358741117,0.0001805222811478,0.0
9,baseline,,0.0,0.0,0.0049239043146371,0.0005217716097831,0.0054456759244203,27270,3030,0.0001805612143247,0.0001722018514135,0.0
0,catch24,,0.0,0.0,0.0392768215388059,0.0047891382128,0.0440659597516059,26469,2941,0.0014838800687145,0.0016284046966338,100.49805396795271
1,catch24,,0.0,0.0,0.0251116957515478,0.0033096596598625,0.0284213554114103,26469,2941,0.0009487209849842,0.0011253518054615,100.49805396795271
2,catch24,,0.0,0.0,0.0169514194130897,0.0024081617593765,0.0193595811724662,26469,2941,0.0006404253811284,0.0008188241276356,100.49805396795271
3,catch24,,0.0,0.0,0.0173299554735422,0.0024691317230463,0.0197990871965885,26469,2941,0.0006547264903676,0.0008395551591452,100.49805396795271
4,catch24,,0.0,0.0,0.0166716426610946,0.0024347025901079,0.0191063452512025,26469,2941,0.0006298554029655,0.0008278485515497,100.49805396795271
5,catch24,,0.0,0.0,0.0166907794773578,0.00237219594419,0.0190629754215478,26469,2941,0.000630578392737,0.0008065950167256,100.49805396795271
6,catch24,,0.0,0.0,0.0167093575000762,0.0023068916052579,0.0190162491053342,26469,2941,0.0006312802712636,0.0007843902092002,100.49805396795271
7,catch24,,0.0,0.0,0.016538668423891,0.0024759080260992,0.0190145764499902,26469,2941,0.0006248316303559,0.0008418592404281,100.49805396795271
8,catch24,,0.0,0.0,0.0163851603865623,0.0023309905081987,0.018716150894761,26469,2941,0.0006190320898621,0.0007925843278472,100.49805396795271
9,catch24,,0.0,0.0,0.0258820466697216,0.0031852759420871,0.0290673226118087,26469,2941,0.0009778248770154,0.0010830588038378,100.49805396795271
0,drift,KSWIN,0.0031051002442836,2.357587728649378,0.1449992395937442,0.015965424478054,2.52165749296546,27270,3030,0.0053171705021541,0.0052691169894567,0.0
1,drift,KSWIN,0.0038301832973957,2.330691549926996,0.1482718475162983,0.0161051768809556,2.498898757621646,27270,3030,0.0054371781267436,0.0053152398947048,0.0
2,drift,KSWIN,0.0039753131568431,2.347617100924253,0.1470083892345428,0.0161382164806127,2.5147390197962523,27270,3030,0.0053908466899355,0.0053261440530075,0.0
3,drift,KSWIN,0.0031825546175241,2.2677726317197084,0.1446557082235813,0.0159670393913984,2.4315779339522123,27270,3030,0.0053045730921738,0.0052696499641578,0.0
4,drift,KSWIN,0.0035783406347036,2.3635110538452864,0.1458471417427063,0.0160588826984167,2.528995418921113,27270,3030,0.0053482633569015,0.0052999612866061,0.0
5,drift,KSWIN,0.003183951601386,2.3291127998381853,0.1451458949595689,0.0161496084183454,2.493592254817486,27270,3030,0.0053225484033578,0.0053299037684308,0.0
6,drift,KSWIN,0.0031363926827907,2.3220544550567865,0.1459541209042072,0.0161517076194286,2.487296676263213,27270,3030,0.0053521863184527,0.0053305965740688,0.0
7,drift,KSWIN,0.0031987596303224,2.311487808823585,0.1446050405502319,0.0163763873279094,2.4756679963320494,27270,3030,0.0053027150916843,0.0054047482930394,0.0
8,drift,KSWIN,0.00322837382555,2.320759043097496,0.1448429375886917,0.0160505138337612,2.484880868345499,27270,3030,0.0053114388554709,0.0052971992850697,0.0
9,drift,KSWIN,0.0031709671020507,2.325985614210367,0.1448949258774519,0.016193900257349,2.490245407447219,27270,3030,0.0053133452833682,0.0053445215370788,0.0
0,catch24_drift,KSWIN,0.009150655940175,2.301712997257709,0.2002349030226469,0.0220777429640293,2.5331762991845608,26469,2941,0.0075648835627582,0.0075068830207512,100.6241428554058
1,catch24_drift,KSWIN,0.007131703197956,2.3066014517098665,0.1836366020143032,0.0202528778463602,2.517622634768486,26469,2941,0.0069377990107032,0.0068863916512615,100.6241428554058
2,catch24_drift,KSWIN,0.0072462484240531,2.3167690131813288,0.1831065397709608,0.0201331712305545,2.5272549726068974,26469,2941,0.0069177732355193,0.0068456889597261,100.6241428554058
3,catch24_drift,KSWIN,0.0069704465568065,2.2910654451698065,0.1763442400842905,0.0199227463454008,2.4943028781563044,26469,2941,0.0066622932518905,0.0067741402058486,100.6241428554058
4,catch24_drift,KSWIN,0.0069538950920104,2.3177156765013933,0.1733833644539117,0.0191618334501981,2.5172147694975138,26469,2941,0.0065504312385776,0.0065154142979252,100.6241428554058
5,catch24_drift,KSWIN,0.0071354117244482,2.343935552984476,0.1771485731005668,0.0198040921241045,2.548023629933596,26469,2941,0.0066926809891029,0.0067337953499165,100.6241428554058
6,catch24_drift,KSWIN,0.0075925197452306,2.367196498438716,0.1945103593170642,0.0213321410119533,2.590631518512964,26469,2941,0.0073486100463585,0.0072533631458528,100.6241428554058
7,catch24_drift,KSWIN,0.007192263379693,2.282206540927291,0.1806171089410781,0.0197536014020442,2.4897695146501064,26469,2941,0.0068237224277863,0.0067166274743435,100.6241428554058
8,catch24_drift,KSWIN,0.0077279414981603,2.298366067931056,0.1942540183663368,0.0213162880390882,2.521664315834641,26469,2941,0.0073389254738122,0.0072479728116587,100.6241428554058
9,catch24_drift,KSWIN,0.0070248562842607,2.3223731238394976,0.1833103522658348,0.0212103426456451,2.5339186750352383,26469,2941,0.0069254732806617,0.0072119492164723,100.6241428554058
