fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,baseline,,0.0,0.0,0.03652811050415039,0.006589027121663094,0.043117137625813484,332957,39382,0.00010970819206128837,0.00016731062723231662,0.0
1,baseline,,0.0,0.0,0.019640928134322166,0.0026667527854442596,0.022307680919766426,333633,38706,5.8869860398468274e-05,6.889765890157236e-05,0.0
2,baseline,,0.0,0.0,0.019886255264282227,0.002405816689133644,0.02229207195341587,334063,38276,5.952845799828843e-05,6.285444375414474e-05,0.0
3,baseline,,0.0,0.0,0.02062970958650112,0.0023611262440681458,0.022990835830569267,334292,38047,6.171164606541921e-05,6.205814503293679e-05,0.0
4,baseline,,0.0,0.0,0.019893845543265343,0.002359386533498764,0.022253232076764107,335524,36815,5.929187045715163e-05,6.40876418171605e-05,0.0
5,baseline,,0.0,0.0,0.03938048891723156,0.003974268212914467,0.04335475713014603,337925,34414,0.00011653618086034345,0.00011548405337695319,0.0
6,baseline,,0.0,0.0,0.024270739406347275,0.003953937441110611,0.028224676847457886,335736,36603,7.229114365557245e-05,0.0001080222233453709,0.0
7,baseline,,0.0,0.0,0.02182057499885559,0.0034181158989667892,0.02523869089782238,335811,36528,6.497873803673969e-05,9.35752271946668e-05,0.0
8,baseline,,0.0,0.0,0.020195666700601578,0.0028062257915735245,0.023001892492175102,334619,37720,6.035421389879707e-05,7.439622989325356e-05,0.0
9,baseline,,0.0,0.0,0.021749410778284073,0.002347072586417198,0.02409648336470127,336491,35848,6.463593611206264e-05,6.547290187506133e-05,0.0
