fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24,,121.48463842645288,332336,0.3655476337996873
1,catch24,,123.77293153293431,333012,0.3716770913148304
2,catch24,,121.77777821570635,333442,0.36521427479353635
3,catch24,,122.15236169099808,333671,0.3660862397121658
4,catch24,,122.9834415409714,334903,0.3672210805545827
5,catch24,,123.92149900086224,337304,0.36738816913188765
6,catch24,,125.09927129559219,335115,0.3733025119603485
7,catch24,,122.16448608599603,335190,0.3644633971359409
8,catch24,,122.98870844393969,333998,0.3682318709810828
9,catch24,,122.23629889637232,335870,0.36393931847551825
