feature,feature_importance_mdi
score_aly,0.12060754087534807
score_alz,0.0778937717672794
score_arx,0.07489336215242802
score_alx,0.07048218623620923
score_ary,0.06349151119222692
score_gry,0.050485293460548926
score_gly,0.04855624300917441
score_arz,0.04776934424343632
score_glz,0.04590967379602487
arz,0.045082808165453035
alz,0.044675928929313116
ary,0.03967680444904786
gry,0.038406430838139625
aly,0.03539801068701271
gly,0.03080588244937653
arx,0.03046899493107214
grx,0.02210165510533654
grz,0.021674146745763463
score_glx,0.020247737939033495
glx,0.018274455808201452
score_grz,0.01715542070990236
glz,0.015590714797984264
score_grx,0.01029394417804326
alx,0.01005813753364398
