feature,feature_importance_mdi
S1_Light,0.20217340603756181
S2_Light,0.13969486267558998
S5_CO2_Slope,0.13503228373350384
S1_Sound,0.11019672131728021
S3_Light,0.08257542282560644
S2_Sound,0.06294976481971908
S5_CO2,0.04658384952767977
S2_Temp,0.044655331214734986
S3_Sound,0.040658626070039894
S3_Temp,0.03157087468467794
S1_Temp,0.027108643943084456
S4_Light,0.021718875967933014
S7_PIR,0.01638388557899024
S4_Temp,0.01524656438223368
hour,0.011893149810463317
S4_Sound,0.008537028988128017
S6_PIR,0.003020708422773505
