fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24,,0.43004245311021805,7593,0.05663669868434322
1,catch24,,0.4117588996887207,6941,0.059322705617161894
2,catch24,,0.4319515023380518,7594,0.05688062975217959
3,catch24,,0.40340980887413025,7660,0.05266446591046087
4,catch24,,0.43991913460195065,7609,0.057815630779596616
5,catch24,,0.41861992701888084,6276,0.06670170921269612
6,catch24,,0.415284251794219,5624,0.07384143879698062
7,catch24,,0.40696883760392666,6277,0.06483492713142053
8,catch24,,0.39983194693922997,6343,0.06303514850058804
9,catch24,,0.42859902791678905,6292,0.06811809089586603
