feature,feature_importance_mdi
S1_Sound__mean,0.0692473045426787
S1_Light,0.06290380015417991
S1_Light__mean,0.05674294880950402
S2_Light__mean,0.04952287725053634
S2_Light,0.04868200054928277
S2_Sound__mean,0.04833471444194702
S5_CO2_Slope,0.0447104533471202
S1_Sound__SD,0.04413210372294698
S5_CO2_Slope__mean,0.037015672692542335
S3_Sound__mean,0.03513939117345396
S3_Light__mean,0.027587426455956205
S3_Light,0.024984792110780803
S1_Sound,0.02460327423967395
S2_Sound,0.02061408042906385
S2_Sound__SD,0.020469101812859835
S2_Temp,0.0195818935137661
S2_Temp__mean,0.019123511832760648
S6_PIR__mean,0.019119987226292816
S5_CO2__mean,0.017334865803130227
S3_Sound__SD,0.016738378053852688
S7_PIR__mean,0.01573719837925871
S5_CO2,0.014600809569102851
S3_Sound,0.013952028944537308
S4_Sound__SD,0.01361531761895964
S3_Temp__mean,0.013536005688282882
S1_Temp__mean,0.013450645139404551
S3_Temp,0.012572144043230572
S1_Temp,0.011568142837795635
S4_Sound__mean,0.010965830100050323
score_S1_Light,0.00823615126431662
S4_Light__mean,0.008028382261953989
S4_Light,0.007373040135027442
score_S2_Light,0.006776739741368517
score_S4_Temp,0.00677406071543855
S4_Temp__mean,0.006710469873842747
score_S3_Temp,0.0065062175858110124
score_S1_Temp,0.006445499992008255
score_S1_Sound,0.006339802910549859
score_S2_Temp,0.00617208006341626
score_S5_CO2_Slope,0.0061548981384985
S4_Temp,0.006073891250890779
score_S3_Sound,0.005670235656516559
score_S5_CO2,0.005284484864167621
score_S3_Light,0.005149308963484947
S7_PIR,0.004975164976315703
score_S4_Sound,0.004758241038102247
hour__mean,0.004643445014070346
S1_Sound__embedding_dist,0.004628336168598447
score_S2_Sound,0.004622553681349871
hour,0.004604303747441051
S2_Sound__embedding_dist,0.004313917666578483
score_S6_PIR,0.004013621469783937
score_S7_PIR,0.003704208524139313
score_hour,0.0036737347892067474
S6_PIR,0.0033975899790316825
S6_PIR__acf_first_min,0.003394646739507527
score_S4_Light,0.0033002925773230954
S6_PIR__SD,0.003188916789372743
S4_Sound,0.0028686595509646333
S3_Sound__embedding_dist,0.0025321220665327853
S6_PIR__acf_timescale,0.002450340807105212
S5_CO2_Slope__SD,0.0016152117258591877
S7_PIR__acf_first_min,0.0013443239288220843
S7_PIR__SD,0.001219597730744242
S7_PIR__acf_timescale,0.0008841694232538412
S5_CO2_Slope__acf_timescale,0.0005204456857061558
S4_Sound__embedding_dist,0.0004928183947141549
S1_Light__SD,0.0004100836609868981
S5_CO2_Slope__acf_first_min,0.00040026019520244806
