fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24_drift,SEED,0.6142531707882881,7593,0.08089729629768051
1,catch24_drift,SEED,0.5935398750007153,6941,0.08551215602949362
2,catch24_drift,SEED,0.70184819214046,7594,0.09242141060580195
3,catch24_drift,SEED,0.6445374600589275,7660,0.08414327154816287
4,catch24_drift,SEED,0.9376747477799654,7609,0.12323232327243598
5,catch24_drift,SEED,0.5665826629847288,6276,0.09027767096633665
6,catch24_drift,SEED,0.5614056717604399,5624,0.0998231991039189
7,catch24_drift,SEED,0.5893773902207613,6277,0.09389475708471584
8,catch24_drift,SEED,0.5814977120608091,6343,0.09167550245322546
9,catch24_drift,SEED,0.5970642194151878,6292,0.09489259685556069
