fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,drift,HDDMWeighted,7603,34,1.9723396301269531,2526,34,0.6553688049316406,0.0
1,drift,HDDMWeighted,6951,34,1.8032112121582031,3178,34,0.8244972229003906,0.0
2,drift,HDDMWeighted,7604,34,1.9725990295410156,2525,34,0.6551094055175781,0.0
3,drift,HDDMWeighted,7670,34,1.9897193908691406,2459,34,0.6379890441894531,0.0
4,drift,HDDMWeighted,7619,34,1.9764900207519531,2510,34,0.6512184143066406,0.0
5,drift,HDDMWeighted,6286,34,1.6307106018066406,3843,34,0.9969978332519531,0.0
6,drift,HDDMWeighted,5634,34,1.4615821838378906,4495,34,1.1661262512207031,0.0
7,drift,HDDMWeighted,6287,34,1.6309700012207031,3842,34,0.9967384338378906,0.0
8,drift,HDDMWeighted,6353,34,1.6480903625488281,3776,34,0.9796180725097656,0.0
9,drift,HDDMWeighted,6302,34,1.6348609924316406,3827,34,0.9928474426269531,0.0
