fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,drift,HDDMWeighted,0.31717835552990437,7603,0.04171752670392008
1,drift,HDDMWeighted,0.31196828931570053,6951,0.04488106593521803
2,drift,HDDMWeighted,0.3177137952297926,7604,0.041782455974459835
3,drift,HDDMWeighted,0.32061415165662766,7670,0.04180106279747427
4,drift,HDDMWeighted,0.3124683313071728,7619,0.041011724807346474
5,drift,HDDMWeighted,0.30768242105841637,6286,0.048947251202420675
6,drift,HDDMWeighted,0.29902711883187294,5634,0.05307545595169914
7,drift,HDDMWeighted,0.3026575967669487,6287,0.0481402253486478
8,drift,HDDMWeighted,0.30597967840731144,6353,0.04816302194354029
9,drift,HDDMWeighted,0.3048583958297968,6302,0.04837486446045649
