feature,feature_importance_mdi
ankle_acc16_x__mean,0.041424434732657715
ankle_acc6_x__mean,0.037879804970874585
score_ankle_mag_z,0.0377855463793818
score_ankle_mag_x,0.03738320315272899
score_ankle_acc6_z,0.03685635388976563
score_ankle_acc16_y,0.035655425688117935
score_ankle_gyro_z,0.035336210469769175
ankle_gyro_z__SD,0.035000017942270985
score_ankle_acc6_x,0.032836845840797255
score_ankle_mag_y,0.02954565106852159
score_ankle_acc6_y,0.029375467813031183
score_ankle_acc16_z,0.029234727697492045
ankle_acc16_y__SD,0.027258553778953233
score_ankle_gyro_x,0.025791741469906336
score_ankle_gyro_y,0.02351477504447086
ankle_acc6_y__SD,0.023024739336096396
ankle_acc16_x__SD,0.021273175525884234
ankle_acc6_x__SD,0.019930603945022787
score_ankle_acc16_x,0.017647090280538315
ankle_acc16_x,0.015903050609886775
ankle_acc6_z__SD,0.01383879021078696
ankle_acc6_x,0.013582955049193548
ankle_acc16_z__SD,0.0126054360623951
ankle_gyro_x__SD,0.011133019757973494
ankle_mag_y__SD,0.010439643858029186
ankle_gyro_x__mean,0.009443469683373198
ankle_gyro_y__SD,0.009373188373165633
ankle_acc16_y__mean,0.008972846012481071
ankle_acc16_y,0.008907169972040859
ankle_mag_z,0.008864160506684949
ankle_mag_x__SD,0.008837990197751963
ankle_gyro_y__mean,0.008376835149504262
ankle_mag_z__SD,0.007913006531804427
ankle_mag_z__mean,0.007814972081075771
ankle_acc6_y,0.006962160377866202
ankle_acc16_x__acf_first_min,0.006264589904142396
ankle_gyro_z__ami2,0.0060629587902092386
ankle_mag_y__low_freq_power,0.005659541225347811
ankle_acc6_y__mean,0.005585632660467165
ankle_acc6_x__acf_first_min,0.004887599949785919
ankle_acc6_x__forecast_error,0.004762861559194686
ankle_gyro_z__entropy_pairs,0.004747289216493071
ankle_mag_x__mean,0.004637899045475456
ankle_acc6_x__low_freq_power,0.004610627833232718
ankle_acc16_x__low_freq_power,0.00442595719348529
ankle_mag_z__entropy_pairs,0.004240134513020714
ankle_mag_x__entropy_pairs,0.004209338361505881
ankle_acc6_x__acf_timescale,0.004168875274173511
ankle_gyro_y__entropy_pairs,0.003997648498030873
ankle_mag_z__acf_first_min,0.0039402308081725864
ankle_mag_x,0.0036534860250012884
ankle_mag_x__forecast_error,0.003618334465634742
ankle_acc6_x__centroid_freq,0.003367469450305794
ankle_acc6_z__whiten_timescale,0.003333191594754245
ankle_mag_x__low_freq_power,0.0033211902243111234
ankle_acc16_x__forecast_error,0.0032366255995506512
ankle_mag_z__centroid_freq,0.003205544372860751
ankle_mag_y__entropy_pairs,0.003203988594894801
ankle_mag_z__ami2,0.003203000729299433
ankle_mag_y__acf_timescale,0.003096002844492674
ankle_acc16_x__centroid_freq,0.003088927308505711
ankle_mag_z__low_freq_power,0.0030384283127397713
ankle_gyro_z__low_freq_power,0.003015773323673366
ankle_mag_y__whiten_timescale,0.0029425967692555707
ankle_acc6_y__forecast_error,0.0029090172867706704
ankle_gyro_y__acf_timescale,0.0029032539197076756
ankle_acc16_x__acf_timescale,0.0028579907069648746
ankle_acc6_z__forecast_error,0.002852086108197117
ankle_mag_y__acf_first_min,0.0027806668898120138
ankle_acc6_z__centroid_freq,0.0026802463959968497
ankle_acc6_z__entropy_pairs,0.00262984137526277
ankle_mag_x__acf_timescale,0.002574065640011928
ankle_acc6_x__entropy_pairs,0.002511727183901177
ankle_acc6_x__ami_timescale,0.0023515818227723396
ankle_gyro_y__low_freq_power,0.0022680341237968477
ankle_acc16_x__entropy_pairs,0.002265063224303854
ankle_mag_y__ami2,0.0022646687702571598
ankle_mag_z__forecast_error,0.0022526224192655968
ankle_gyro_y__forecast_error,0.0022200808477915415
ankle_mag_y__forecast_error,0.0022079981611289076
ankle_mag_y__embedding_dist,0.0021636293738148877
ankle_acc6_x__trev,0.0020664415281625137
ankle_mag_z__high_fluctuation,0.0020257452526008506
ankle_mag_y__centroid_freq,0.0019939653106870845
ankle_mag_y__ami_timescale,0.0019868410175110257
ankle_acc6_z__ami2,0.0019580310634068907
ankle_mag_y__mean,0.0019194444042519938
ankle_acc6_x__whiten_timescale,0.0018896210218421036
ankle_mag_y__stretch_high,0.0018478675292683013
ankle_acc6_y__acf_timescale,0.0018362265791224948
ankle_acc6_y__low_freq_power,0.0017734226204027064
ankle_mag_x__ami2,0.001770709891790048
ankle_temperature__mean,0.0017462260528848575
ankle_gyro_z__stretch_high,0.0017317514647420308
ankle_mag_z__embedding_dist,0.0017152997641647469
ankle_acc6_z__acf_timescale,0.0016981185463458906
ankle_gyro_z__centroid_freq,0.0016398511369058707
ankle_acc6_y__centroid_freq,0.0016364967627875595
ankle_gyro_z__rs_range,0.0016299722475254317
ankle_acc6_z__mean,0.0016231058359471539
ankle_mag_z__acf_timescale,0.0015888872527619778
ankle_gyro_y__centroid_freq,0.0015177620522504557
ankle_acc16_x__ami_timescale,0.0014885888754429205
ankle_acc16_y__acf_timescale,0.001465586146956825
ankle_temperature,0.0014577436451144697
ankle_mag_x__centroid_freq,0.0013982340088742916
ankle_acc6_y__entropy_pairs,0.001366549251755752
ankle_acc16_x__whiten_timescale,0.0013548031525089787
ankle_acc6_y__whiten_timescale,0.0013407675764151956
ankle_acc16_y__centroid_freq,0.0013268159643800904
ankle_gyro_y__ami2,0.0012697515837357665
ankle_mag_y,0.0012522198061027598
ankle_acc16_z__mean,0.0012312771530740385
ankle_acc16_z__forecast_error,0.0011382328689485224
ankle_gyro_x__rs_range,0.0010638376116850709
ankle_mag_x__stretch_high,0.0010624060375777691
ankle_acc6_x__periodicity,0.0010569637956421049
ankle_acc16_z__centroid_freq,0.0010454893679376464
ankle_gyro_z__acf_timescale,0.0010368390835889432
ankle_acc16_y__forecast_error,0.0010163879984410608
ankle_acc16_y__stretch_high,0.0010075614397397111
ankle_acc16_y__low_freq_power,0.0009994399544038873
ankle_mag_z__stretch_high,0.0009962015418076683
ankle_mag_y__stretch_decreasing,0.0009772385009475639
ankle_acc6_z__high_fluctuation,0.000970510149000569
score_ankle_temperature,0.0009511012241337059
ankle_mag_x__embedding_dist,0.0009497942056413806
ankle_gyro_z__dfa,0.0009179476312790185
ankle_acc6_y__stretch_high,0.00090995842799418
ankle_acc16_z,0.0008883061361700496
