fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,baseline,,0.0,0.0,0.0223590824753046,0.004095509648323,0.0264545921236276,254136,34388,8.798077594400086e-05,0.0001190970585181,0.0
1,baseline,,0.0,0.0,0.0589237362146377,0.0088929999619722,0.0678167361766099,251323,37201,0.0002344542131624,0.0002390527126145,0.0
2,baseline,,0.0,0.0,0.0286962296813726,0.0023770574480295,0.0310732871294021,253656,34868,0.000113130498318,6.817303682544219e-05,0.0
3,baseline,,0.0,0.0,0.0300936922430992,0.0024980921298265,0.0325917843729257,252286,36238,0.0001192840357495,6.893570643596627e-05,0.0
4,baseline,,0.0,0.0,0.0285003222525119,0.0028925593942403,0.0313928816467523,250681,37843,0.0001136915931104,7.643578453717674e-05,0.0
5,baseline,,0.0,0.0,0.0286402180790901,0.0025571789592504,0.0311973970383405,252555,35969,0.0001134019048488,7.109396867442659e-05,0.0
6,baseline,,0.0,0.0,0.0275253392755985,0.0027403030544519,0.0302656423300504,252988,35536,0.0001088009679336,7.711343579614877e-05,0.0
7,baseline,,0.0,0.0,0.0276843700557947,0.0028638541698455,0.0305482242256402,252043,36481,0.0001098398688152,7.850262245677424e-05,0.0
0,catch24,,0.0,0.0,0.503301227465272,0.0673173479735851,0.5706185754388571,253233,34259,0.0019875025271796,0.0019649536756351,3596.8298821467906
1,catch24,,0.0,0.0,0.455406691879034,0.0694123841822147,0.5248190760612488,250420,37072,0.0018185715672831,0.0018723668586052,3596.8298821467906
2,catch24,,0.0,0.0,0.4554554913192987,0.0673320740461349,0.5227875653654337,252753,34739,0.0018019785771852,0.0019382271811547,3596.8298821467906
3,catch24,,0.0,0.0,0.4545024763792753,0.0684578511863946,0.52296032756567,251383,36109,0.0018080080052321,0.0018958667142926,3596.8298821467906
4,catch24,,0.0,0.0,0.4496153537184,0.0683901011943817,0.5180054549127817,249778,37714,0.0018000598680364,0.0018133876330906,3596.8298821467906
5,catch24,,0.0,0.0,0.7179399039596319,0.0815226528793573,0.7994625568389893,251652,35840,0.0028529076024018,0.0022746275914999,3596.8298821467906
6,catch24,,0.0,0.0,0.5620183646678925,0.0638600885868072,0.6258784532546997,252085,35407,0.0022294795988174,0.0018036006605136,3596.8298821467906
7,catch24,,0.0,0.0,0.534958228468895,0.0918228402733802,0.6267810687422752,251140,36352,0.0021301195686425,0.0025259364071682,3596.8298821467906
0,drift,KSWIN,0.0481468103826046,1107.9236992634833,2.8911392986774445,0.3875351417809725,1111.2505205143243,254136,34388,0.0113763469114074,0.0112694876637481,0.0
1,drift,KSWIN,0.0434702597558498,1112.2995183840394,2.83658866211772,0.4244365692138672,1115.6040138751268,251323,37201,0.011286625824607,0.0114092784928864,0.0
2,drift,KSWIN,0.0562851279973983,1100.7964390479028,2.855441715568304,0.3914760556071996,1104.0996419470755,253656,34868,0.0112571424116453,0.0112273733970173,0.0
3,drift,KSWIN,0.0432221516966819,1097.75475724414,2.839705647900701,0.4093876518309116,1101.0470726955682,252286,36238,0.0112558986543078,0.0112971922244856,0.0
4,drift,KSWIN,0.04212780110538,1100.1305357515812,2.818796696141362,0.4292913023382425,1103.4207515511662,250681,37843,0.0112445566123533,0.0113440082006776,0.0
5,drift,KSWIN,0.043087437748909,1114.435773026198,2.8341980073601007,0.4032342135906219,1117.7162926848978,252555,35969,0.0112221021455132,0.0112106039531435,0.0
6,drift,KSWIN,0.044057747349143,1104.5751137118789,2.839757962152362,0.3990088123828172,1107.857938233763,252988,35536,0.0112248721763576,0.0112282984123935,0.0
7,drift,KSWIN,0.0500673875212669,1094.4551108330488,2.8648331817239523,0.4141661319881677,1097.7841775342822,252043,36481,0.0113664461291285,0.0113529270575962,0.0
0,catch24_drift,KSWIN,0.0884920191019773,1100.3809965196997,3.7932224608957767,0.5001498758792877,1104.7628608755767,253233,34259,0.0149791790994687,0.014599079829513,3599.0748175513
1,catch24_drift,KSWIN,0.0872820895165205,1115.1355493906883,3.7383042108267546,0.5618115868419409,1119.5229472778738,250420,37072,0.0149281375721857,0.0151546068958227,3599.0748175513
2,catch24_drift,KSWIN,0.0859423354268074,1101.0639407150447,3.8897815253585577,0.5029209032654762,1105.5425854790956,252753,34739,0.0153896552181717,0.0144771266664404,3599.0748175513
3,catch24_drift,KSWIN,0.0836666822433471,1100.7902377843857,3.674246760085225,0.5289466250687838,1105.077097851783,251383,36109,0.0146161306058294,0.0146486090744352,3599.0748175513
4,catch24_drift,KSWIN,0.086108649149537,1097.597582127899,3.743044715374708,0.555863531306386,1101.9825990237296,249778,37714,0.0149854859730428,0.0147389174128012,3599.0748175513
5,catch24_drift,KSWIN,0.0850037932395935,1095.293594719842,3.7622969076037407,0.5375548861920834,1099.6784503068775,251652,35840,0.0149503954174961,0.0149987412441987,3599.0748175513
6,catch24_drift,KSWIN,0.0866290312260389,1097.90084878169,3.7944464329630136,0.5395058486610651,1102.32143009454,252085,35407,0.0150522499671262,0.0152372651922237,3599.0748175513
7,catch24_drift,KSWIN,0.0861964803189039,1112.9505318030715,3.668144572526217,0.5291577447205782,1117.2340306006372,251140,36352,0.0146059750439046,0.0145564960585546,3599.0748175513
