fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,baseline,,0.0,0.0,0.0225105453282594,0.0021131448447704,0.0246236901730299,254136,34388,8.857676727523636e-05,6.14500652777257e-05,0.0
1,baseline,,0.0,0.0,0.017076363787055,0.0028447918593883,0.0199211556464433,251323,37201,6.794588552203744e-05,7.647084377807992e-05,0.0
2,baseline,,0.0,0.0,0.0163776874542236,0.0022497419267892,0.0186274293810129,253656,34868,6.4566528898286e-05,6.452167967159814e-05,0.0
3,baseline,,0.0,0.0,0.0162957459688186,0.0023416429758071,0.0186373889446258,252286,36238,6.459235141394554e-05,6.461843853985292e-05,0.0
4,baseline,,0.0,0.0,0.0169413834810256,0.0026546139270067,0.0195959974080324,250681,37843,6.758144207588806e-05,7.014808358234605e-05,0.0
5,baseline,,0.0,0.0,0.0315366350114345,0.0036304369568824,0.035167071968317,252555,35969,0.0001248703649162,0.0001009323850227,0.0
6,baseline,,0.0,0.0,0.0279425512999296,0.0042595509439706,0.0322021022439003,252988,35536,0.0001104501055383,0.0001198657964872,0.0
7,baseline,,0.0,0.0,0.0177552010864019,0.0028778780251741,0.020633079111576,252043,36481,7.04451267696462e-05,7.888703777786083e-05,0.0
0,catch24,,0.0,0.0,0.507256617769599,0.0679494068026542,0.5752060245722532,253233,34259,0.0020031220961312,0.0019834030999928,3570.9577206410468
1,catch24,,0.0,0.0,0.456763444468379,0.0703336782753467,0.5270971227437258,250420,37072,0.0018239894755545,0.001897218339322,3570.9577206410468
2,catch24,,0.0,0.0,0.4653554577380419,0.0682120639830827,0.5335675217211246,252753,34739,0.001841147118879,0.0019635586511725,3570.9577206410468
3,catch24,,0.0,0.0,0.463678004220128,0.071537796407938,0.5352158006280661,251383,36109,0.0018445081975317,0.0019811624915654,3570.9577206410468
4,catch24,,0.0,0.0,0.4588918555527925,0.0736302882432937,0.5325221437960863,249778,37714,0.0018371988547942,0.001952333039277,3570.9577206410468
5,catch24,,0.0,0.0,0.4582150392234325,0.0720242150127887,0.5302392542362213,251652,35840,0.001820828124646,0.0020096042135264,3570.9577206410468
6,catch24,,0.0,0.0,0.463681124150753,0.0702005811035633,0.5338817052543163,252085,35407,0.0018393840337614,0.0019826752083927,3570.9577206410468
7,catch24,,0.0,0.0,0.4607509318739176,0.0686199348419904,0.529370866715908,251140,36352,0.0018346377792224,0.0018876522568769,3570.9577206410468
0,drift,GeometricMovingAverage,0.0451041739434003,27.543452499434352,2.696725120767951,0.3565272372215986,30.641809031367305,254136,34388,0.0106113463687472,0.0103677805403512,0.0
1,drift,GeometricMovingAverage,0.0448364280164241,27.80977038294077,2.697036575525999,0.4035952985286712,30.955238685011864,251323,37201,0.0107313559663301,0.0108490443409766,0.0
2,drift,GeometricMovingAverage,0.0450915563851594,27.530929896980524,2.681864323094487,0.3663785085082054,30.624264284968376,253656,34868,0.0105728400790617,0.0105075859959907,0.0
3,drift,GeometricMovingAverage,0.0453217178583145,27.44208784028888,2.671629823744297,0.3795440569519996,30.53858343884349,252286,36238,0.0105896871952636,0.0104736480200894,0.0
4,drift,GeometricMovingAverage,0.0468081478029489,27.20353573933244,2.6648411862552166,0.3970206286758184,30.31220570206642,250681,37843,0.0106304075149501,0.0104912567364061,0.0
5,drift,GeometricMovingAverage,0.0460282210260629,27.47161534614861,2.676919834688306,0.3860633634030819,30.58062676526606,252555,35969,0.0105993539414713,0.0107332248158992,0.0
6,drift,GeometricMovingAverage,0.0453904550522565,27.323198771104217,2.6724404357373714,0.3736600689589977,30.41468973085284,252988,35536,0.0105635067107426,0.0105149726744427,0.0
7,drift,GeometricMovingAverage,0.0445732921361923,27.256721790879965,2.668929861858487,0.392278328537941,30.362503273412585,252043,36481,0.0105891846306324,0.0107529488922436,0.0
0,catch24_drift,GeometricMovingAverage,0.0413228124380111,27.700366416946054,3.588765811175108,0.4713915530592203,31.801846593618396,253233,34259,0.0141717936097392,0.0137596413514469,3575.7908797711134
1,catch24_drift,GeometricMovingAverage,0.0413417629897594,27.533659348264337,3.5353598911315203,0.5426496639847755,31.653010666370392,250420,37072,0.0141177217919156,0.0146377229171551,3575.7908797711134
2,catch24_drift,GeometricMovingAverage,0.041180420666933,27.474222909659147,3.5446083284914494,0.4877001736313104,31.54771183244884,252753,34739,0.0140240010147909,0.0140389813647862,3575.7908797711134
3,catch24_drift,GeometricMovingAverage,0.0436628442257642,27.458320140838623,3.5176413394510746,0.5001576449722052,31.519781969487667,251383,36109,0.01399315522311,0.0138513291692432,3575.7908797711134
4,catch24_drift,GeometricMovingAverage,0.0421491358429193,27.46012176014483,3.5093814451247454,0.5277648884803057,31.5394172295928,249778,37714,0.0140500021824369,0.0139938719966141,3575.7908797711134
5,catch24_drift,GeometricMovingAverage,0.0443766042590141,27.40813047811389,3.524778846651316,0.5095981750637293,31.48688410408795,251652,35840,0.0140065600378749,0.0142186990810192,3575.7908797711134
6,catch24_drift,GeometricMovingAverage,0.0417904164642095,27.467242509126663,3.544880436733365,0.5002439208328724,31.55415728315711,252085,35407,0.0140622426432884,0.0141283904547934,3575.7908797711134
7,catch24_drift,GeometricMovingAverage,0.0436060316860675,27.29289999231696,3.533137643709779,0.5145287532359362,31.384172420948744,251140,36352,0.0140683986768725,0.0141540700163934,3575.7908797711134
