feature,feature_importance_mdi
hand_acc16_x__mean,0.07413489788955449
hand_acc6_x__mean,0.06559190127785663
hand_mag_x__mean,0.049105753951225316
hand_gyro_z__SD,0.03192581466345399
hand_mag_y__low_freq_power,0.027561427638765488
hand_mag_z__mean,0.027129956685154104
hand_acc6_z__mean,0.025912242885599818
hand_acc16_z__mean,0.024487573260305547
hand_acc16_x__SD,0.023903217453816007
hand_mag_y__mean,0.021817996279779598
hand_acc6_x__SD,0.021001284254675703
hand_mag_y__SD,0.019719867405658998
hand_gyro_x__mean,0.01838881469876551
hand_acc6_z__SD,0.017494144809776603
hand_acc6_y__SD,0.017470378818267823
hand_gyro_y__SD,0.016799481310305148
hand_mag_z__acf_timescale,0.01581972489023489
hand_acc16_z__SD,0.013162331257680657
hand_temperature__mean,0.012258866122328512
hand_acc16_y__mean,0.01214804668220176
hand_mag_z__forecast_error,0.011974532898176089
hand_mag_y__ami_timescale,0.011909318883819414
hand_mag_y__entropy_pairs,0.011877914775365551
hand_acc6_y__mean,0.011469591602556615
hand_mag_y__acf_timescale,0.011210811232443494
hand_mag_z__SD,0.010502457095308195
hand_gyro_x__SD,0.01043969390598983
hand_mag_z__entropy_pairs,0.010142540225318878
hand_mag_z__low_freq_power,0.009899129438210943
hand_mag_x__SD,0.009578716977293537
hand_mag_y__stretch_high,0.009434760440924566
hand_gyro_z__entropy_pairs,0.009222541254987345
hand_mag_x__entropy_pairs,0.009209762097645137
hand_mag_z__acf_first_min,0.009013264266980812
hand_gyro_y__entropy_pairs,0.008451814326571954
hand_mag_z__centroid_freq,0.00815913914123612
hand_mag_y__forecast_error,0.007934945986753657
hand_mag_y__stretch_decreasing,0.007151912335558296
hand_mag_z__high_fluctuation,0.006669245099463295
hand_acc16_y__SD,0.006570297368608394
hand_mag_x__ami_timescale,0.006370379790503157
hand_mag_x__embedding_dist,0.006238983776583329
hand_gyro_x__acf_timescale,0.006043937303667812
hand_mag_y__acf_first_min,0.006029808069242974
