feature,feature_importance_mdi
hand_acc6_x,0.105073050047037
hand_acc16_x,0.09490942738170392
score_hand_mag_y,0.08654045553570891
hand_mag_x,0.08561106089109069
score_hand_mag_z,0.08329636314501636
score_hand_acc6_z,0.07256163795672996
score_hand_mag_x,0.07078913083289151
score_hand_acc6_y,0.05709357986860997
score_hand_acc16_z,0.049505267879015526
score_hand_acc16_y,0.0480163467280668
hand_mag_z,0.0353681235625077
hand_temperature,0.03466173733667021
hand_acc6_z,0.031202869757093393
hand_mag_y,0.030764291974537675
hand_acc16_z,0.030404955739314173
score_hand_gyro_x,0.026861400053510644
score_hand_gyro_y,0.010837451860418111
score_hand_gyro_z,0.009305539728425224
score_hand_acc16_x,0.007584020386364639
score_hand_temperature,0.007564866849990079
hand_acc6_y,0.006155957999966749
score_hand_acc6_x,0.005507279317229503
hand_acc16_y,0.005438149500321305
hand_gyro_z,0.003266053709898045
hand_gyro_y,0.0014437041343826596
hand_gyro_x,0.0002372778234993143
