fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24,,1.4989240523427725,20890,0.07175318584694938
1,catch24,,1.2247150093317032,19557,0.06262284651693528
2,catch24,,1.1727662179619074,18161,0.06457608160133844
3,catch24,,1.4168452769517899,22565,0.06278950928215332
4,catch24,,1.5489718206226826,22774,0.06801492142894013
5,catch24,,1.4179901909083128,22231,0.06378436376718603
6,catch24,,1.4070307482033968,21848,0.06440089473651578
7,catch24,,1.4058490246534348,22475,0.06255168074097596
8,catch24,,1.4715675562620163,22684,0.06487248969590972
9,catch24,,1.49954585544765,22141,0.06772710606782213
10,catch24,,1.395717065781355,21758,0.06414730516505905
