fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,drift,ADWIN,0.3530385699123144,21762,0.01622270792722702
1,drift,ADWIN,0.3373212907463312,20429,0.016511884612380987
2,drift,ADWIN,0.33291978389024734,19033,0.0174917135443833
3,drift,ADWIN,0.3226623199880123,23328,0.013831546638717948
4,drift,ADWIN,0.33319754526019096,23537,0.014156330257050218
5,drift,ADWIN,0.33347551710903645,22994,0.014502718844439265
6,drift,ADWIN,0.3041628897190094,22611,0.013451987515767079
7,drift,ADWIN,0.33207336999475956,23238,0.014290101127238126
8,drift,ADWIN,0.36677394807338715,23447,0.015642681284317277
9,drift,ADWIN,0.2990423608571291,22904,0.013056337795019609
10,drift,ADWIN,0.36306527629494667,22521,0.016121188059808476
