fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,baseline,,0.0,0.0,0.0051723476499319,0.0007259361445903,0.0058982837945222,21762,4304,0.0002376779546885,0.0001686654611037,0.0
1,baseline,,0.0,0.0,0.0049678534269332,0.000604061409831,0.0055719148367643,20429,5637,0.0002431765346778,0.0001071600868956,0.0
2,baseline,,0.0,0.0,0.0047868210822343,0.0006465949118137,0.0054334159940481,19033,7033,0.0002515011339376,9.19372830675012e-05,0.0
3,baseline,,0.0,0.0,0.0049735084176063,0.0010914895683526,0.006064997985959,23328,2738,0.0002131990919755,0.0003986448386971,0.0
4,baseline,,0.0,0.0,0.0054698046296834,0.0010974965989589,0.0065673012286424,23537,2529,0.000232391750422,0.0004339646496476,0.0
5,baseline,,0.0,0.0,0.0048865564167499,0.0010390374809503,0.0059255938977003,22994,3072,0.0002125144131838,0.0003382283466635,0.0
6,baseline,,0.0,0.0,0.004147907719016,0.0010143835097551,0.0051622912287712,22611,3455,0.0001834464516835,0.0002935987003632,0.0
7,baseline,,0.0,0.0,0.0041852016001939,0.0010259058326482,0.0052111074328422,23238,2828,0.0001801016266543,0.0003627672675559,0.0
8,baseline,,0.0,0.0,0.0043116193264722,0.001034565269947,0.0053461845964193,23447,2619,0.0001838878887052,0.00039502301258,0.0
9,baseline,,0.0,0.0,0.0041918382048606,0.0010281410068273,0.005219979211688,22904,3162,0.0001830177351056,0.0003251552836266,0.0
10,baseline,,0.0,0.0,0.0050375517457723,0.0010217875242233,0.0060593392699956,22521,3545,0.0002236824184437,0.0002882334341955,0.0
0,catch24,,0.0,0.0,0.0205606743693351,0.0057168360799551,0.0262775104492902,20890,4195,0.0009842352498485,0.0013627737973671,73.35897647030652
1,catch24,,0.0,0.0,0.0118069034069776,0.0023191012442111,0.0141260046511888,19557,5528,0.0006037175132677,0.0004195190383884,73.35897647030652
2,catch24,,0.0,0.0,0.0111714135855436,0.0051404293626546,0.0163118429481983,18161,6924,0.0006151320734289,0.0007424074758311,73.35897647030652
3,catch24,,0.0,0.0,0.0188242644071578,0.0014947559684515,0.0203190203756093,22565,2520,0.0008342239932265,0.0005931571303378,73.35897647030652
4,catch24,,0.0,0.0,0.0143054295331239,0.0017649736255407,0.0160704031586647,22774,2311,0.0006281474283447,0.0007637272287065,73.35897647030652
5,catch24,,0.0,0.0,0.0101723261177539,0.0015527233481407,0.0117250494658946,22231,2854,0.0004575739335951,0.0005440516286407,73.35897647030652
