fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24,,77.30063055641949,733055,0.10544997381699803
1,catch24,,69.81208407133818,736950,0.09473109990004502
2,catch24,,71.96783102862537,741873,0.0970082898671678
3,catch24,,71.07860296778381,738200,0.09628637627713872
4,catch24,,71.28074143268168,734349,0.0970665738397978
5,catch24,,70.88524214923382,725501,0.09770523010889554
6,catch24,,69.97369359992445,724475,0.09658538058583725
7,catch24,,71.44470341876149,728259,0.09810342669127535
8,catch24,,70.83818714506924,721781,0.0981436019305984
9,catch24,,71.63040906563401,726653,0.09857581137851769
