feature,feature_importance_mdi
acc_x__mean,0.0483800367842071
acc_y__mean,0.04541902707690894
acc_x,0.041171325656747235
acc_y,0.03739972418020911
acc_x__SD,0.036713013542832434
score_acc_x,0.03396392437926554
score_acc_y,0.030868491120212498
acc_z__mean,0.026454920092216946
acc_y__SD,0.023333748871814806
gyro_y__SD,0.022044528665345016
gyro_x__SD,0.01981483812206234
score_acc_z,0.019693568955182088
acc_z__SD,0.019064112411499183
gyro_x__mean,0.018715219480797015
acc_z,0.018512074286114674
gyro_z__SD,0.017462775758316482
acc_x__forecast_error,0.01432932479316501
acc_x__acf_timescale,0.013373928195532457
acc_x__centroid_freq,0.01207921900323585
acc_x__periodicity,0.011336354496753227
acc_x__stretch_decreasing,0.01119139114677111
acc_x__trev,0.011071719434428888
gyro_y__mean,0.010869996487285045
acc_x__low_freq_power,0.010779542630255965
gyro_z__low_freq_power,0.009817287413434357
acc_x__entropy_pairs,0.009657191311333186
acc_x__dfa,0.009596137269757101
acc_x__ami2,0.008917128404467333
gyro_x__entropy_pairs,0.008836963513966276
gyro_z__acf_timescale,0.008245097049947721
gyro_x__centroid_freq,0.008230991782971589
acc_z__centroid_freq,0.00808395347610964
gyro_x__forecast_error,0.007506832455961145
acc_x__embedding_dist,0.007485998594000005
gyro_x__embedding_dist,0.007441329532415044
gyro_z__forecast_error,0.007154709687401447
gyro_x__ami2,0.007131871055042239
acc_z__forecast_error,0.00693772970475113
acc_y__low_freq_power,0.006882356586990594
acc_y__forecast_error,0.006834292043710399
acc_y__acf_timescale,0.006720657725919253
acc_z__acf_timescale,0.006610352197753551
gyro_z__mean,0.006275185865832231
gyro_z__acf_first_min,0.006227807344620534
gyro_x__acf_timescale,0.00593438198903376
acc_x__acf_first_min,0.00557879931850266
acc_y__whiten_timescale,0.005553856488392298
acc_x__stretch_high,0.005438293362764911
gyro_x__low_freq_power,0.005309936658598877
acc_x__outlier_timing_pos,0.005173638982794323
acc_x__whiten_timescale,0.004943940680027678
gyro_z__ami_timescale,0.004750887318609957
gyro_x__high_fluctuation,0.0046410850032438215
gyro_x__whiten_timescale,0.004635013773711809
gyro_y__low_freq_power,0.004626970570254586
acc_z__ami2,0.004623295586502653
acc_x__ami_timescale,0.004554861170879706
gyro_x__acf_first_min,0.004438757588006105
gyro_z__embedding_dist,0.0044343716837937615
gyro_z__high_fluctuation,0.004426023394098134
acc_z__low_freq_power,0.0043985621523224445
gyro_z__ami2,0.004394649696636468
acc_x__outlier_timing_neg,0.004319236965982612
gyro_z__whiten_timescale,0.004309745126655049
gyro_y__stretch_high,0.004283078457318094
acc_y__outlier_timing_pos,0.004280641064366206
acc_z__entropy_pairs,0.004276567094145538
acc_z__trev,0.00419631590125493
gyro_y__acf_timescale,0.004178286950677573
acc_z__embedding_dist,0.004003744192771918
gyro_y__forecast_error,0.003872477853653912
gyro_z__entropy_pairs,0.003861009485195158
gyro_x__stretch_high,0.0038484253889927893
acc_y__high_fluctuation,0.00374056420642857
acc_z__acf_first_min,0.0037315600125488314
acc_z__whiten_timescale,0.003702353422065245
gyro_x__ami_timescale,0.0036967199494030655
gyro_x__stretch_decreasing,0.003651889861304256
gyro_y__whiten_timescale,0.003618755692869479
acc_y__centroid_freq,0.0035864417335062467
gyro_z,0.0035731499798137786
acc_z__ami_timescale,0.003500792568915496
gyro_y__embedding_dist,0.0034562584687751405
acc_y__stretch_high,0.003450762765572251
acc_y__outlier_timing_neg,0.003303021534777317
gyro_z__stretch_high,0.003239799840036461
gyro_z__centroid_freq,0.0031798823595402216
gyro_y__high_fluctuation,0.0031117568247531952
acc_y__ami2,0.003015260990518888
gyro_z__stretch_decreasing,0.00293401562083304
gyro_y__centroid_freq,0.0029337480985904673
acc_y__embedding_dist,0.002931625383427475
acc_y__ami_timescale,0.0028726948773049334
acc_z__stretch_high,0.00284901391773643
gyro_x__trev,0.0028337559723057787
acc_z__outlier_timing_neg,0.00281644582086763
acc_y__stretch_decreasing,0.002768604984083798
acc_y__acf_first_min,0.0027577291644758153
gyro_x__periodicity,0.0027195531917806664
gyro_y__acf_first_min,0.0027045750117109
acc_y__trev,0.002694014015448865
acc_x__high_fluctuation,0.0025847880716923814
gyro_y__entropy_pairs,0.0025825399979764385
acc_z__outlier_timing_pos,0.002497974978514552
gyro_x,0.002476279257725534
gyro_y__ami2,0.002473629363596738
gyro_y__ami_timescale,0.0023665119672019513
acc_z__stretch_decreasing,0.002278574986176926
acc_x__mode_10,0.0022527238481169164
acc_y__entropy_pairs,0.002238364601967396
gyro_z__outlier_timing_pos,0.0020095472723992845
acc_y__periodicity,0.0019609378131324007
gyro_y,0.001946997502478079
gyro_z__periodicity,0.0019267644302560162
gyro_x__outlier_timing_pos,0.001875766595624085
gyro_z__outlier_timing_neg,0.0017503272532553105
acc_x__mode_5,0.0017466280106292575
acc_x__transition_matrix,0.0017090116207828699
acc_y__transition_matrix,0.0016971609519709431
gyro_y__trev,0.0016143944328041975
gyro_x__outlier_timing_neg,0.0016000764172012514
gyro_y__outlier_timing_neg,0.0015883244873535825
gyro_y__outlier_timing_pos,0.0015845370217847149
acc_z__periodicity,0.0015260061181095097
gyro_z__trev,0.001514527397040411
gyro_y__stretch_decreasing,0.001468786419222823
acc_z__high_fluctuation,0.001402147724795405
gyro_y__periodicity,0.001331067592176052
gyro_x__mode_10,0.0013256477155230877
gyro_z__mode_10,0.0012240029896121738
gyro_x__transition_matrix,0.001200601197533372
acc_z__mode_10,0.0011856698920429721
gyro_x__mode_5,0.0010941738744054811
gyro_z__mode_5,0.001048343478421684
acc_z__transition_matrix,0.0010362391518487204
acc_y__mode_10,0.0010153029875929157
acc_z__mode_5,0.0009326797023985578
acc_x__rs_range,0.0009314029507246012
acc_y__mode_5,0.0009066477613973408
gyro_y__mode_10,0.0008815300385262212
gyro_y__mode_5,0.0008492410303419245
gyro_z__transition_matrix,0.0005368315443030152
gyro_y__transition_matrix,0.0004990873211914937
gyro_z__rs_range,0.0003985233687665067
acc_y__dfa,0.0003931700304443535
acc_z__dfa,0.00023354482329715799
acc_y__rs_range,0.00019225685916331715
gyro_z__dfa,0.00017220010140701187
gyro_x__dfa,0.00016452896577624605
gyro_y__rs_range,0.00013982454284611282
gyro_y__dfa,0.00012685846575489077
acc_z__rs_range,0.00010589112197751094
gyro_x__rs_range,0.00010312519459258002
score_gyro_x,0.0
score_gyro_y,0.0
score_gyro_z,0.0
