fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,catch24_drift,CUSUM,0.031227344647049904,36.34323973581195,5.231258071959019,0.4939386658370495,42.09966381825507,732515,79229,0.0071415030026129415,0.006234316548701227,4869.591842066497
1,catch24_drift,CUSUM,0.028978580608963966,36.4454871956259,4.890952968969941,0.4766152985394001,41.842034043744206,736410,75334,0.0066416167202644465,0.006326695762064939,4869.591842066497
2,catch24_drift,CUSUM,0.030802704393863678,36.42041518352926,4.909644631668925,0.43948863446712494,41.80035115405917,741333,70411,0.006622725052936974,0.0062417610098865935,4869.591842066497
3,catch24_drift,CUSUM,0.029519226402044296,36.34103357233107,4.892256977036595,0.45815809071063995,41.72096786648035,737660,74084,0.006632129947450852,0.006184305527652934,4869.591842066497
4,catch24_drift,CUSUM,0.03307381831109524,36.467432379722595,4.824847508221865,0.5279699005186558,41.85332360677421,733809,77935,0.006575072679977848,0.0067744902870168185,4869.591842066497
5,catch24_drift,CUSUM,0.03173034265637398,36.38491195067763,4.787327151745558,0.5673752892762423,41.77134473435581,724961,86783,0.006603565090736685,0.006537862130558315,4869.591842066497
6,catch24_drift,CUSUM,0.028546540066599846,36.335344733670354,4.699995264410973,0.5791571661829948,41.64304370433092,723935,87809,0.006492289037566871,0.006595646985878382,4869.591842066497
7,catch24_drift,CUSUM,0.019200602546334267,36.4054606333375,4.797420600429177,0.5476496871560812,41.76973152346909,727719,84025,0.006592408059194795,0.006517699341339854,4869.591842066497
8,catch24_drift,CUSUM,0.01984950341284275,36.29054853506386,4.716448782011867,0.6029379852116108,41.62978480570018,721241,90503,0.0065393520085683795,0.006662077336791165,4869.591842066497
9,catch24_drift,CUSUM,0.02899073250591755,36.42654367163777,4.773266825824976,0.5511103440076113,41.77991157397628,726113,85631,0.006573724510957628,0.006435874204524194,4869.591842066497
