fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,baseline,,0.0,0.0,0.1440306305885315,0.0019180681556463242,0.14594869874417782,241138,18075,0.0005972954515195925,0.00010611718703437478,0.0
1,baseline,,0.0,0.0,0.013160917907953262,0.0013170074671506882,0.01447792537510395,237736,21477,5.5359381448132646e-05,6.132176128652457e-05,0.0
2,baseline,,0.0,0.0,0.01335102878510952,0.0014483127743005753,0.014799341559410095,235158,24055,5.677471651021662e-05,6.020838803993246e-05,0.0
3,baseline,,0.0,0.0,0.013763373717665672,0.0013042241334915161,0.015067597851157188,233990,25223,5.8820350090455455e-05,5.1707732366947474e-05,0.0
4,baseline,,0.0,0.0,0.014707494527101517,0.0013336986303329468,0.016041193157434464,236895,22318,6.208444469955684e-05,5.9758877602515764e-05,0.0
5,baseline,,0.0,0.0,0.015225164592266083,0.0015166141092777252,0.016741778701543808,235865,23348,6.455033426861163e-05,6.495691747805916e-05,0.0
6,baseline,,0.0,0.0,0.01420365460216999,0.001399841159582138,0.015603495761752129,236031,23182,6.017707251238181e-05,6.038483131663092e-05,0.0
7,baseline,,0.0,0.0,0.013620827347040176,0.001301852986216545,0.014922680333256721,237807,21406,5.7276814168801495e-05,6.0817200140920544e-05,0.0
8,baseline,,0.0,0.0,0.013539113104343414,0.0014435593038797379,0.014982672408223152,233961,25252,5.786910256129618e-05,5.7166137489297394e-05,0.0
9,baseline,,0.0,0.0,0.013248708099126816,0.001362822949886322,0.014611531049013138,236352,22861,5.605498620331885e-05,5.961344428880285e-05,0.0
10,baseline,,0.0,0.0,0.013019207864999771,0.0018089022487401962,0.014828110113739967,227197,32016,5.730360816824065e-05,5.649994530048089e-05,0.0
