fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,catch24,,238429,144,261.94604873657227,17817,144,19.574466705322266,281.5231590270996
1,catch24,,235027,144,258.20849990844727,21219,144,23.312015533447266,281.5231590270996
2,catch24,,232449,144,255.37622451782227,23797,144,26.144290924072266,281.5231590270996
3,catch24,,231281,144,254.09302139282227,24965,144,27.427494049072266,281.5231590270996
4,catch24,,234186,144,257.28454971313477,22060,144,24.235965728759766,281.5231590270996
5,catch24,,233156,144,256.15295791625977,23090,144,25.367557525634766,281.5231590270996
6,catch24,,233322,144,256.33533096313477,22924,144,25.185184478759766,281.5231590270996
7,catch24,,235098,144,258.28650283813477,21148,144,23.234012603759766,281.5231590270996
8,catch24,,231252,144,254.06116104125977,24994,144,27.459354400634766,281.5231590270996
9,catch24,,233643,144,256.68799209594727,22603,144,24.832523345947266,281.5231590270996
10,catch24,,224617,144,246.77173233032227,31629,144,34.748783111572266,281.5231590270996
