feature,feature_importance_mdi
y_gyro__SD,0.24946402830123116
y_gyro__mean,0.21838054727996656
x_gyro,0.09554796372923528
y_gyro__outlier_timing_neg,0.08701121787979903
y_gyro__outlier_timing_pos,0.07643116634501922
score_y_acc,0.07613484794227429
y_acc__whiten_timescale,0.04388105616710819
z_gyro,0.028061891696071112
y_gyro,0.02182393363231281
z_acc__SD,0.017118873250037397
y_acc__low_freq_power,0.01661631124020192
z_acc,0.012909615367769503
x_gyro__mean,0.012176323186045142
z_acc__mean,0.011816329705859488
z_gyro__mean,0.008325460119512594
y_acc__acf_timescale,0.004615325860957795
x_acc__mean,0.004230541481401783
y_gyro__high_fluctuation,0.004086851849706224
x_gyro__outlier_timing_pos,0.0023466933679256773
x_gyro__SD,0.002199875280689377
z_acc__outlier_timing_neg,0.001946237550252168
y_acc__SD,0.001238217033076063
z_acc__outlier_timing_pos,0.0010642580109736094
y_acc__mean,0.0005095796340662083
x_gyro__acf_timescale,0.0004954266968566027
y_acc__outlier_timing_neg,0.000383713557875039
x_gyro__high_fluctuation,0.000330289394174666
y_acc__high_fluctuation,0.00017259496693035337
score_z_acc,0.0001651444277049717
z_gyro__SD,0.00016329225748604715
x_acc__acf_timescale,0.0001471293996875331
y_acc__stretch_high,0.00014057551700390287
z_gyro__outlier_timing_neg,6.468787078849555e-05
y_gyro__transition_matrix,0.0
y_gyro__rs_range,0.0
z_acc__centroid_freq,0.0
z_acc__ami_timescale,0.0
y_gyro__mode_5,0.0
z_acc__ami2,0.0
y_gyro__low_freq_power,0.0
y_gyro__periodicity,0.0
z_acc__acf_timescale,0.0
y_gyro__stretch_decreasing,0.0
y_gyro__mode_10,0.0
z_acc__embedding_dist,0.0
y_gyro__stretch_high,0.0
z_acc__acf_first_min,0.0
y_gyro__entropy_pairs,0.0
y_gyro__forecast_error,0.0
y_gyro__whiten_timescale,0.0
y_gyro__trev,0.0
z_acc__dfa,0.0
score_x_acc,0.0
z_acc__entropy_pairs,0.0
z_gyro__mode_5,0.0
z_gyro__embedding_dist,0.0
z_gyro__entropy_pairs,0.0
z_gyro__forecast_error,0.0
z_gyro__high_fluctuation,0.0
z_gyro__low_freq_power,0.0
z_gyro__mode_10,0.0
z_gyro__outlier_timing_pos,0.0
z_gyro__centroid_freq,0.0
z_gyro__periodicity,0.0
z_gyro__rs_range,0.0
z_gyro__stretch_decreasing,0.0
z_gyro__stretch_high,0.0
z_gyro__transition_matrix,0.0
z_gyro__trev,0.0
z_gyro__dfa,0.0
z_gyro__ami_timescale,0.0
z_acc__forecast_error,0.0
z_acc__rs_range,0.0
z_acc__high_fluctuation,0.0
z_acc__low_freq_power,0.0
z_acc__mode_10,0.0
y_gyro__dfa,0.0
z_acc__mode_5,0.0
z_acc__periodicity,0.0
z_acc__stretch_decreasing,0.0
z_gyro__ami2,0.0
z_acc__stretch_high,0.0
z_acc__transition_matrix,0.0
z_acc__trev,0.0
z_acc__whiten_timescale,0.0
z_gyro__acf_first_min,0.0
z_gyro__acf_timescale,0.0
y_gyro__embedding_dist,0.0
y_acc__transition_matrix,0.0
y_gyro__centroid_freq,0.0
x_acc__mode_5,0.0
x_gyro__dfa,0.0
x_gyro__centroid_freq,0.0
x_gyro__ami_timescale,0.0
x_gyro__ami2,0.0
x_gyro__acf_first_min,0.0
x_acc__whiten_timescale,0.0
x_acc__trev,0.0
x_acc__transition_matrix,0.0
x_acc__stretch_high,0.0
x_acc__stretch_decreasing,0.0
x_acc__rs_range,0.0
x_acc__periodicity,0.0
x_acc__outlier_timing_pos,0.0
x_acc__outlier_timing_neg,0.0
x_acc__mode_10,0.0
x_gyro__entropy_pairs,0.0
x_acc__low_freq_power,0.0
x_acc__high_fluctuation,0.0
x_acc__forecast_error,0.0
x_acc__entropy_pairs,0.0
x_acc__embedding_dist,0.0
x_acc__dfa,0.0
x_acc__centroid_freq,0.0
x_acc__ami_timescale,0.0
x_acc__ami2,0.0
x_acc__acf_first_min,0.0
x_acc__SD,0.0
x_acc,0.0
score_z_gyro,0.0
score_y_gyro,0.0
x_gyro__embedding_dist,0.0
x_gyro__forecast_error,0.0
y_gyro__ami_timescale,0.0
y_acc__dfa,0.0
y_gyro__ami2,0.0
y_gyro__acf_timescale,0.0
y_gyro__acf_first_min,0.0
y_acc__trev,0.0
score_x_gyro,0.0
y_acc__stretch_decreasing,0.0
y_acc__rs_range,0.0
y_acc__periodicity,0.0
y_acc__outlier_timing_pos,0.0
y_acc__mode_5,0.0
y_acc__mode_10,0.0
y_acc__forecast_error,0.0
y_acc__entropy_pairs,0.0
y_acc__embedding_dist,0.0
y_acc__centroid_freq,0.0
x_gyro__low_freq_power,0.0
y_acc__ami_timescale,0.0
y_acc__ami2,0.0
y_acc__acf_first_min,0.0
y_acc,0.0
x_gyro__whiten_timescale,0.0
x_gyro__trev,0.0
x_gyro__transition_matrix,0.0
x_gyro__stretch_high,0.0
x_gyro__stretch_decreasing,0.0
x_gyro__rs_range,0.0
x_gyro__periodicity,0.0
x_gyro__outlier_timing_neg,0.0
x_gyro__mode_5,0.0
x_gyro__mode_10,0.0
z_gyro__whiten_timescale,0.0
