fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,catch24_drift,SEED,238429,156,283.77487564086914,17817,156,21.20566177368164,281.5231590270996
1,catch24_drift,SEED,235027,156,279.7258644104004,21219,156,25.25467300415039,281.5231590270996
2,catch24_drift,SEED,232449,156,276.65756607055664,23797,156,28.32297134399414,281.5231590270996
3,catch24_drift,SEED,231281,156,275.26742935180664,24965,156,29.71310806274414,281.5231590270996
4,catch24_drift,SEED,234186,156,278.7249183654785,22060,156,26.255619049072266,281.5231590270996
5,catch24_drift,SEED,233156,156,277.49902725219727,23090,156,27.481510162353516,281.5231590270996
6,catch24_drift,SEED,233322,156,277.6965980529785,22924,156,27.283939361572266,281.5231590270996
7,catch24_drift,SEED,235098,156,279.8103675842285,21148,156,25.170169830322266,281.5231590270996
8,catch24_drift,SEED,231252,156,275.23291397094727,24994,156,29.747623443603516,281.5231590270996
9,catch24_drift,SEED,233643,156,278.0786476135254,22603,156,26.90188980102539,281.5231590270996
10,catch24_drift,SEED,224617,156,267.33603286743164,31629,156,37.64450454711914,281.5231590270996
