fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24_drift,SEED,93.69215388223529,238429,0.39295620030380235
1,catch24_drift,SEED,88.9011919349432,235027,0.3782594848036319
2,catch24_drift,SEED,86.32396924309433,232449,0.37136735044286845
3,catch24_drift,SEED,96.53710155747831,231281,0.41740178206371603
4,catch24_drift,SEED,89.87074093148112,234186,0.38375795705755733
5,catch24_drift,SEED,90.51371889747679,233156,0.3882109784756849
6,catch24_drift,SEED,87.28390568122268,233322,0.3740920516763215
7,catch24_drift,SEED,87.36772807501256,235098,0.37162259174902623
8,catch24_drift,SEED,90.2619476057589,231252,0.39031855986438563
9,catch24_drift,SEED,91.88489015214145,233643,0.3932704602840293
10,catch24_drift,SEED,83.1941621080041,224617,0.3703823045807045
