fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,drift,PageHinkley,241138,12,22.076969146728516,18075,12,1.6549415588378906,0.0
1,drift,PageHinkley,237736,12,21.765506744384766,21477,12,1.9664039611816406,0.0
2,drift,PageHinkley,235158,12,21.529483795166016,24055,12,2.2024269104003906,0.0
3,drift,PageHinkley,233990,12,21.422550201416016,25223,12,2.3093605041503906,0.0
4,drift,PageHinkley,236895,12,21.68851089477539,22318,12,2.0433998107910156,0.0
5,drift,PageHinkley,235865,12,21.59421157836914,23348,12,2.1376991271972656,0.0
6,drift,PageHinkley,236031,12,21.60940933227539,23182,12,2.1225013732910156,0.0
7,drift,PageHinkley,237807,12,21.77200698852539,21406,12,1.9599037170410156,0.0
8,drift,PageHinkley,233961,12,21.41989517211914,25252,12,2.3120155334472656,0.0
9,drift,PageHinkley,236352,12,21.638797760009766,22861,12,2.0931129455566406,0.0
10,drift,PageHinkley,227197,12,20.80063247680664,32016,12,2.9312782287597656,0.0
