fold,scenario,detector,t_fit_scaler_s,t_deteccao_s,t_extracao_treino_s,t_extracao_teste_s,t_total_extracao_s,n_train_samples,n_test_samples,t_por_amostra_treino_ms,t_por_amostra_teste_ms,t_catch22_extracao_unica_s
0,baseline,,0.0,0.0,0.1440306305885315,0.0019180681556463,0.1459486987441778,241138,18075,0.0005972954515195,0.0001061171870343,0.0
1,baseline,,0.0,0.0,0.0131609179079532,0.0013170074671506,0.0144779253751039,237736,21477,5.5359381448132646e-05,6.132176128652457e-05,0.0
2,baseline,,0.0,0.0,0.0133510287851095,0.0014483127743005,0.01479934155941,235158,24055,5.677471651021662e-05,6.020838803993246e-05,0.0
3,baseline,,0.0,0.0,0.0137633737176656,0.0013042241334915,0.0150675978511571,233990,25223,5.8820350090455455e-05,5.1707732366947474e-05,0.0
4,baseline,,0.0,0.0,0.0147074945271015,0.0013336986303329,0.0160411931574344,236895,22318,6.208444469955684e-05,5.975887760251576e-05,0.0
5,baseline,,0.0,0.0,0.015225164592266,0.0015166141092777,0.0167417787015438,235865,23348,6.455033426861163e-05,6.495691747805916e-05,0.0
6,baseline,,0.0,0.0,0.0142036546021699,0.0013998411595821,0.0156034957617521,236031,23182,6.017707251238181e-05,6.038483131663092e-05,0.0
7,baseline,,0.0,0.0,0.0136208273470401,0.0013018529862165,0.0149226803332567,237807,21406,5.7276814168801495e-05,6.0817200140920544e-05,0.0
8,baseline,,0.0,0.0,0.0135391131043434,0.0014435593038797,0.0149826724082231,233961,25252,5.786910256129618e-05,5.7166137489297394e-05,0.0
9,baseline,,0.0,0.0,0.0132487080991268,0.0013628229498863,0.0146115310490131,236352,22861,5.605498620331885e-05,5.961344428880285e-05,0.0
10,baseline,,0.0,0.0,0.0130192078649997,0.0018089022487401,0.0148281101137399,227197,32016,5.730360816824065e-05,5.649994530048089e-05,0.0
0,catch24,,0.0,0.0,0.2279480844736099,0.0194759219884872,0.2474240064620971,238429,17817,0.0009560417754283,0.0010931089402529,1511.3009193409234
1,catch24,,0.0,0.0,0.2293748967349529,0.0219217035919427,0.2512966003268957,235027,21219,0.0009759512597912,0.0010331167157709,1511.3009193409234
2,catch24,,0.0,0.0,0.2168889511376619,0.0221991147845983,0.2390880659222602,232449,23797,0.0009330603751259,0.0009328535018951,1511.3009193409234
3,catch24,,0.0,0.0,0.2598397191613912,0.0289356987923383,0.2887754179537296,231281,24965,0.0011234806108646,0.0011590506225651,1511.3009193409234
4,catch24,,0.0,0.0,0.4128358084708452,0.0336599312722682,0.4464957397431135,234186,22060,0.0017628543485556,0.0015258355064491,1511.3009193409234
5,catch24,,0.0,0.0,0.2086886614561081,0.0229003224521875,0.2315889839082956,233156,23090,0.0008950602234388,0.0009917852945945,1511.3009193409234
6,catch24,,0.0,0.0,0.2204229887574911,0.024221871048212,0.2446448598057031,233322,22924,0.0009447158380156,0.001056616255811,1511.3009193409234
7,catch24,,0.0,0.0,0.1996550764888525,0.0195020381361246,0.2191571146249771,235098,21148,0.0008492419182164,0.0009221693841556,1511.3009193409234
8,catch24,,0.0,0.0,0.2066542692482471,0.0227563139051198,0.229410583153367,231252,24994,0.0008936323545234,0.0009104710692614,1511.3009193409234
9,catch24,,0.0,0.0,0.3233427200466394,0.0303409826010465,0.353683702647686,233643,22603,0.0013839178577857,0.0013423431668825,1511.3009193409234
10,catch24,,0.0,0.0,0.2324909586459398,0.0352520421147346,0.2677430007606745,224617,31629,0.0010350550432333,0.001114548108215,1511.3009193409234
0,drift,PageHinkley,0.0130192600190639,2.3672867454588413,1.1461818870157003,0.0867835562676191,3.6132714487612247,241138,18075,0.0047532196792529,0.0048013032513205,0.0
