fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,catch24,,206.50007585808635,241584,0.8547754646751703
1,catch24,,200.19484487175941,238317,0.8400359389878163
2,catch24,,201.76243893615901,235364,0.8572357664560384
3,catch24,,201.97763121686876,234364,0.8618116742198835
4,catch24,,197.3526362888515,237338,0.8315256566114634
5,catch24,,199.6786763612181,236203,0.8453689257173621
6,catch24,,196.2080693617463,236281,0.8304013837834879
7,catch24,,198.5880009494722,238123,0.8339723628102795
8,catch24,,201.306110907346,234183,0.8596102659345298
9,catch24,,197.96684833429754,236651,0.8365350171108406
10,catch24,,197.93430012091994,227452,0.8702244874563422
