fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,catch24_drift,GeometricMovingAverage,241584,156,287.52991104125977,18002,156,21.425846099853516,285.1925926208496
1,catch24_drift,GeometricMovingAverage,238317,156,283.64157485961914,21269,156,25.31418228149414,285.1925926208496
2,catch24_drift,GeometricMovingAverage,235364,156,280.12695693969727,24222,156,28.828800201416016,285.1925926208496
3,catch24_drift,GeometricMovingAverage,234364,156,278.93677139282227,25222,156,30.018985748291016,285.1925926208496
4,catch24_drift,GeometricMovingAverage,237338,156,282.4763832092285,22248,156,26.479373931884766,285.1925926208496
5,catch24_drift,GeometricMovingAverage,236203,156,281.1255226135254,23383,156,27.83023452758789,285.1925926208496
6,catch24_drift,GeometricMovingAverage,236281,156,281.21835708618164,23305,156,27.73740005493164,285.1925926208496
7,catch24_drift,GeometricMovingAverage,238123,156,283.4106788635254,21463,156,25.54507827758789,285.1925926208496
8,catch24_drift,GeometricMovingAverage,234183,156,278.7213478088379,25403,156,30.23440933227539,285.1925926208496
9,catch24_drift,GeometricMovingAverage,236651,156,281.6587257385254,22935,156,27.29703140258789,285.1925926208496
10,catch24_drift,GeometricMovingAverage,227452,156,270.71020889282227,32134,156,38.245548248291016,285.1925926208496
