fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,baseline,,244293,6,11.182971954345703,18260,6,0.8360023498535156,0.0
1,baseline,,241026,6,11.03342056274414,21527,6,0.985553741455078,0.0
2,baseline,,238073,6,10.898242950439451,24480,6,1.1207313537597656,0.0
3,baseline,,237073,6,10.852466583251951,25480,6,1.1665077209472656,0.0
4,baseline,,240047,6,10.988605499267578,22506,6,1.0303688049316406,0.0
5,baseline,,238912,6,10.936649322509766,23641,6,1.0823249816894531,0.0
6,baseline,,238990,6,10.94021987915039,23563,6,1.078754425048828,0.0
7,baseline,,240832,6,11.024539947509766,21721,6,0.9944343566894532,0.0
8,baseline,,236892,6,10.844181060791016,25661,6,1.1747932434082031,0.0
9,baseline,,239360,6,10.957157135009766,23193,6,1.0618171691894531,0.0
10,baseline,,230032,6,10.530155181884766,32521,6,1.4888191223144531,0.0
0,catch24,,241584,144,265.41223526000977,18002,144,19.77771377563477,285.1925926208496
1,catch24,,238317,144,261.82300186157227,21269,144,23.366947174072266,285.1925926208496
2,catch24,,235364,144,258.57873916625977,24222,144,26.61120986938477,285.1925926208496
3,catch24,,234364,144,257.48010635375977,25222,144,27.70984268188477,285.1925926208496
4,catch24,,237338,144,260.7474403381348,22248,144,24.44250869750977,285.1925926208496
5,catch24,,236203,144,259.50049209594727,23383,144,25.689456939697266,285.1925926208496
6,catch24,,236281,144,259.58618545532227,23305,144,25.603763580322266,285.1925926208496
7,catch24,,238123,144,261.60986709594727,21463,144,23.580081939697266,285.1925926208496
8,catch24,,234183,144,257.28125381469727,25403,144,27.908695220947266,285.1925926208496
9,catch24,,236651,144,259.99267959594727,22935,144,25.197269439697266,285.1925926208496
10,catch24,,227452,144,249.88635635375977,32134,144,35.303592681884766,285.1925926208496
0,drift,CUSUM,244293,12,22.36581802368164,18260,12,1.6718788146972656,0.0
1,drift,CUSUM,241026,12,22.06671524047852,21527,12,1.9709815979003904,0.0
2,drift,CUSUM,238073,12,21.79636001586914,24480,12,2.2413368225097656,0.0
3,drift,CUSUM,237073,12,21.70480728149414,25480,12,2.3328895568847656,0.0
4,drift,CUSUM,240047,12,21.97708511352539,22506,12,2.060611724853516,0.0
5,drift,CUSUM,238912,12,21.87317276000977,23641,12,2.1645240783691406,0.0
6,drift,CUSUM,238990,12,21.880313873291016,23563,12,2.15738296508789,0.0
7,drift,CUSUM,240832,12,22.04895401000977,21721,12,1.9887428283691408,0.0
8,drift,CUSUM,236892,12,21.688236236572266,25661,12,2.3494606018066406,0.0
9,drift,CUSUM,239360,12,21.91418838500977,23193,12,2.1235084533691406,0.0
10,drift,CUSUM,230032,12,21.06018447875977,32521,12,2.9775123596191406,0.0
0,catch24_drift,GeometricMovingAverage,241584,156,287.52991104125977,18002,156,21.42584609985352,285.1925926208496
1,catch24_drift,GeometricMovingAverage,238317,156,283.64157485961914,21269,156,25.31418228149414,285.1925926208496
2,catch24_drift,GeometricMovingAverage,235364,156,280.12695693969727,24222,156,28.828800201416016,285.1925926208496
3,catch24_drift,GeometricMovingAverage,234364,156,278.93677139282227,25222,156,30.018985748291016,285.1925926208496
4,catch24_drift,GeometricMovingAverage,237338,156,282.4763832092285,22248,156,26.47937393188477,285.1925926208496
5,catch24_drift,GeometricMovingAverage,236203,156,281.1255226135254,23383,156,27.83023452758789,285.1925926208496
6,catch24_drift,GeometricMovingAverage,236281,156,281.21835708618164,23305,156,27.73740005493164,285.1925926208496
7,catch24_drift,GeometricMovingAverage,238123,156,283.4106788635254,21463,156,25.54507827758789,285.1925926208496
8,catch24_drift,GeometricMovingAverage,234183,156,278.7213478088379,25403,156,30.23440933227539,285.1925926208496
9,catch24_drift,GeometricMovingAverage,236651,156,281.6587257385254,22935,156,27.29703140258789,285.1925926208496
10,catch24_drift,GeometricMovingAverage,227452,156,270.71020889282227,32134,156,38.245548248291016,285.1925926208496
