fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,3.224983494728804,244293,0.0132012930977506
1,baseline,,2.870170377194881,241026,0.0119081359570954
2,baseline,,2.777578141540289,238073,0.0116669178845996
3,baseline,,2.7629554625600576,237073,0.0116544501590651
4,baseline,,2.8398081231862307,240047,0.0118302170957613
5,baseline,,2.8386820033192635,238912,0.0118817054116966
6,baseline,,2.838210156187415,238990,0.0118758531996628
7,baseline,,2.88359865732491,240832,0.0119734863196124
8,baseline,,2.80660311318934,236892,0.011847606137773
9,baseline,,2.8169901072978973,239360,0.0117688423600346
10,baseline,,2.706674501299858,230032,0.0117665129255923
0,catch24,,206.50007585808635,241584,0.8547754646751703
1,catch24,,200.1948448717594,238317,0.8400359389878163
2,catch24,,201.762438936159,235364,0.8572357664560384
3,catch24,,201.9776312168688,234364,0.8618116742198835
4,catch24,,197.3526362888515,237338,0.8315256566114634
5,catch24,,199.6786763612181,236203,0.8453689257173621
6,catch24,,196.2080693617463,236281,0.8304013837834879
7,catch24,,198.5880009494722,238123,0.8339723628102795
8,catch24,,201.306110907346,234183,0.8596102659345298
9,catch24,,197.96684833429757,236651,0.8365350171108406
10,catch24,,197.93430012091997,227452,0.8702244874563422
0,drift,CUSUM,6.25023041293025,244293,0.025584975471791
1,drift,CUSUM,5.863079501315951,241026,0.0243255063823651
2,drift,CUSUM,5.656991071999073,238073,0.0237615818341394
3,drift,CUSUM,5.956571890041232,237073,0.0251254756553518
4,drift,CUSUM,5.969269527122378,240047,0.0248670865585588
5,drift,CUSUM,5.84315031580627,238912,0.0244573328916348
6,drift,CUSUM,5.745338849723339,238990,0.0240400805461456
7,drift,CUSUM,5.840995350852609,240832,0.0242534021677044
8,drift,CUSUM,5.770823733881116,236892,0.0243605682500089
9,drift,CUSUM,5.859206570312381,239360,0.0244786370751687
10,drift,CUSUM,5.775708667933941,230032,0.0251082834907053
0,catch24_drift,GeometricMovingAverage,208.02891179174185,241584,0.8611038470748967
1,catch24_drift,GeometricMovingAverage,199.0655543487519,238317,0.8352973323294264
2,catch24_drift,GeometricMovingAverage,195.6174752768129,235364,0.8311274250812057
3,catch24_drift,GeometricMovingAverage,194.4032530728728,234364,0.8294928106401698
4,catch24_drift,GeometricMovingAverage,205.18707924336195,237338,0.8645353008930805
5,catch24_drift,GeometricMovingAverage,203.31345987692475,236203,0.8607573141616522
6,catch24_drift,GeometricMovingAverage,191.78590085357428,236281,0.8116856660229738
7,catch24_drift,GeometricMovingAverage,201.82643564790487,238123,0.8475722028023537
8,catch24_drift,GeometricMovingAverage,201.24741209298367,234183,0.8593596123244801
9,catch24_drift,GeometricMovingAverage,201.34987735003236,236651,0.8508304522272558
10,catch24_drift,GeometricMovingAverage,199.07149673067036,227452,0.8752242087590804
