fold,scenario,detector,n_train_rows,n_train_cols,mem_X_train_mb,n_test_rows,n_test_cols,mem_X_test_mb,mem_catch22_cache_mb
0,baseline,,488846,6,22.37771987915039,73508,6,3.365055084228516,0.0
1,baseline,,503332,6,23.04083633422852,59022,6,2.70193862915039,0.0
2,baseline,,502613,6,23.007923126220703,59741,6,2.734851837158203,0.0
3,baseline,,494049,6,22.615894317626957,68305,6,3.126880645751953,0.0
4,baseline,,460325,6,21.072132110595703,102029,6,4.670642852783203,0.0
5,baseline,,455900,6,20.869571685791016,106454,6,4.873203277587891,0.0
6,baseline,,469059,6,21.471942901611328,93295,6,4.270832061767578,0.0
0,catch24,,487298,144,535.3616981506348,73250,144,80.47497940063477,615.8381881713867
1,catch24,,501784,144,551.2764930725098,58764,144,64.56018447875977,615.8381881713867
2,catch24,,501065,144,550.4865760803223,59483,144,65.35010147094727,615.8381881713867
3,catch24,,492501,144,541.0778846740723,68047,144,74.75879287719727,615.8381881713867
4,catch24,,458777,144,504.0275917053223,101771,144,111.80908584594728,615.8381881713867
5,catch24,,454352,144,499.16614151000977,106196,144,116.67053604125977,615.8381881713867
6,catch24,,467511,144,513.6230506896973,93037,144,102.21362686157228,615.8381881713867
0,drift,PageHinkley,488846,12,44.755313873291016,73508,12,6.729984283447266,0.0
1,drift,PageHinkley,503332,12,46.08154678344727,59022,12,5.403751373291016,0.0
2,drift,PageHinkley,502613,12,46.01572036743164,59741,12,5.469577789306641,0.0
3,drift,PageHinkley,494049,12,45.23166275024414,68305,12,6.253635406494141,0.0
4,drift,PageHinkley,460325,12,42.14413833618164,102029,12,9.34115982055664,0.0
5,drift,PageHinkley,455900,12,41.739017486572266,106454,12,9.746280670166016,0.0
6,drift,PageHinkley,469059,12,42.94375991821289,93295,12,8.54153823852539,0.0
0,catch24_drift,PageHinkley,487298,156,579.9751625061035,73250,156,87.18121719360352,615.8381881713867
1,catch24_drift,PageHinkley,501784,156,597.2161903381348,58764,156,69.94018936157227,615.8381881713867
2,catch24_drift,PageHinkley,501065,156,596.3604469299316,59483,156,70.79593276977539,615.8381881713867
3,catch24_drift,PageHinkley,492501,156,586.1676979064941,68047,156,80.98868179321289,615.8381881713867
4,catch24_drift,PageHinkley,458777,156,546.0298805236816,101771,156,121.1264991760254,615.8381881713867
5,catch24_drift,PageHinkley,454352,156,540.7633094787598,106196,156,126.39307022094728,615.8381881713867
6,catch24_drift,PageHinkley,467511,156,556.4249610900879,93037,156,110.73141860961914,615.8381881713867
