fold,scenario,detector,t_fit_pipeline_s,n_train_samples,t_fit_por_amostra_ms
0,baseline,,4.514771925285459,488846,0.0092355709677187
1,baseline,,4.794725814834237,503332,0.0095259705618443
2,baseline,,4.562440922483802,502613,0.0090774431271849
3,baseline,,4.462749786674976,494049,0.0090330104638911
4,baseline,,3.937276776880026,460325,0.0085532542809537
5,baseline,,4.072552373632789,455900,0.0089329948971984
6,baseline,,4.576877133920789,469059,0.0097575723606641
0,catch24,,43.998913913965225,487298,0.0902915955205341
1,catch24,,45.41818630322814,501784,0.0905134207213226
2,catch24,,45.29857590608299,501065,0.0904045900353906
3,catch24,,44.28973584994674,492501,0.0899282150695059
4,catch24,,40.2635791786015,458777,0.0877628546736246
5,catch24,,40.28709595836699,454352,0.0886693487832495
6,catch24,,41.632553312927485,467511,0.0890514946448906
0,drift,PageHinkley,4.410878358408809,488846,0.0090230427545869
1,drift,PageHinkley,4.738443775102496,503332,0.0094141516436516
2,drift,PageHinkley,4.599831148982048,502613,0.0091518348092509
3,drift,PageHinkley,4.615754775702953,494049,0.0093427064434964
4,drift,PageHinkley,4.297387171536684,460325,0.0093355502558772
5,drift,PageHinkley,4.189247550442815,455900,0.0091889615056872
6,drift,PageHinkley,4.257777761667967,469059,0.009077275484892
0,catch24_drift,PageHinkley,36.25564739480615,487298,0.0744013876412506
1,catch24_drift,PageHinkley,36.69143433123827,501784,0.0731219694753883
2,catch24_drift,PageHinkley,36.37279165349901,501065,0.0725909645525011
3,catch24_drift,PageHinkley,35.91183484531939,492501,0.0729172831026117
4,catch24_drift,PageHinkley,33.018347792327404,458777,0.0719703642343173
5,catch24_drift,PageHinkley,32.546818589791656,454352,0.0716334881100812
6,catch24_drift,PageHinkley,34.1793670617044,467511,0.0731092253694659
