fold,train_indices,test_indices,detector_name,phi_b,scaler_name
0,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",[0],GeometricMovingAverage,0.0007128506213937577,robust
1,"[0, 2, 3, 4, 5, 6, 7, 8, 9]",[1],GeometricMovingAverage,0.0007128506213937577,robust
2,"[0, 1, 3, 4, 5, 6, 7, 8, 9]",[2],GeometricMovingAverage,0.0007128506213937577,robust
3,"[0, 1, 2, 4, 5, 6, 7, 8, 9]",[3],GeometricMovingAverage,0.0007128506213937577,robust
4,"[0, 1, 2, 3, 5, 6, 7, 8, 9]",[4],GeometricMovingAverage,0.0007128506213937577,robust
5,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",[5],GeometricMovingAverage,0.0007128506213937577,robust
6,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",[6],GeometricMovingAverage,0.0007128506213937577,robust
7,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",[7],GeometricMovingAverage,0.0007128506213937577,robust
8,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",[8],GeometricMovingAverage,0.0007128506213937577,robust
9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",[9],GeometricMovingAverage,0.0007128506213937577,robust
