fold,train_indices,test_indices,detector_name,phi_b,scaler_name
0,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",[0],PageHinkley,0.00014012042506722516,minmax
1,"[0, 2, 3, 4, 5, 6, 7, 8, 9]",[1],PageHinkley,0.00014012042506722516,minmax
2,"[0, 1, 3, 4, 5, 6, 7, 8, 9]",[2],PageHinkley,0.00014012042506722516,minmax
3,"[0, 1, 2, 4, 5, 6, 7, 8, 9]",[3],PageHinkley,0.00014012042506722516,minmax
4,"[0, 1, 2, 3, 5, 6, 7, 8, 9]",[4],PageHinkley,0.00014012042506722516,minmax
5,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",[5],PageHinkley,0.00014012042506722516,minmax
6,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",[6],PageHinkley,0.00014012042506722516,minmax
7,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",[7],PageHinkley,0.00014012042506722516,minmax
8,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",[8],PageHinkley,0.00014012042506722516,minmax
9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",[9],PageHinkley,0.00014012042506722516,minmax
