scenario,detector_name,best_macro_f1
drift_ot,ADWIN,0.7766124466079057
catch24_drift_ot,ADWIN,0.875053698068037
drift_ot,PageHinkley,0.7465084534781727
catch24_drift_ot,PageHinkley,0.9139103751218238
drift_ot,KSWIN,0.806946569471434
catch24_drift_ot,KSWIN,0.8986983219598954
drift_ot,CUSUM,0.765985511839457
catch24_drift_ot,CUSUM,0.8603639588683951
drift_ot,EWMAChart,0.6978897449495132
catch24_drift_ot,EWMAChart,0.8814795173551565
drift_ot,GeometricMovingAverage,0.7862317000092418
catch24_drift_ot,GeometricMovingAverage,0.9104402923229675
drift_ot,HDDMAverage,0.7445742172185552
catch24_drift_ot,HDDMAverage,0.8515315003285749
drift_ot,HDDMWeighted,0.775649379652798
catch24_drift_ot,HDDMWeighted,0.8552420242066896
drift_ot,SEED,0.7325336274433647
catch24_drift_ot,SEED,0.8537341858947863
