scenario,detector_name,best_macro_f1
catch24,baseline,0.7334764276210028
drift,ADWIN,0.696597367933161
catch24_drift,ADWIN,0.8079432033520042
drift,PageHinkley,0.7106218636188886
catch24_drift,PageHinkley,0.8058970047721477
drift,KSWIN,0.7200367414240227
catch24_drift,KSWIN,0.83788647604224
drift,CUSUM,0.6141608231276328
catch24_drift,CUSUM,0.8051361086367141
drift,EWMAChart,0.6543212780669512
catch24_drift,EWMAChart,0.7916316944952351
drift,GeometricMovingAverage,0.5515597031982993
catch24_drift,GeometricMovingAverage,0.751370955033267
drift,HDDMAverage,0.6891647117264511
catch24_drift,HDDMAverage,0.8399549261977184
drift,HDDMWeighted,0.6582993257703298
catch24_drift,HDDMWeighted,0.8003947664037021
drift,SEED,0.7203584714752148
catch24_drift,SEED,0.8161925027839668
baseline,baseline,0.48070975357509815
