run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
smartphone,0,"[0, 1, 2]",735998,79616,6,6
smartphone,1,"[3, 4, 5]",739893,75721,6,6
smartphone,2,"[6, 7, 8]",744816,70798,6,6
smartphone,3,"[9, 10, 11]",741143,74471,6,6
smartphone,4,"[12, 13, 14]",737292,78322,6,6
smartphone,5,"[15, 16, 17]",728444,87170,6,6
smartphone,6,"[18, 19, 20]",727418,88196,6,6
smartphone,7,"[21, 22, 23]",731202,84412,6,6
smartphone,8,"[24, 25, 26]",724724,90890,6,6
smartphone,9,"[27, 28, 29]",729596,86018,6,6
