run,fold,test_bases,RF
smartphone,0,"[0, 1, 2]",0.8456876327683229
smartphone,1,"[3, 4, 5]",0.7809823636470922
smartphone,2,"[6, 7, 8]",0.7539908176814066
smartphone,3,"[9, 10, 11]",0.7989343893451885
smartphone,4,"[12, 13, 14]",0.792584038731829
smartphone,5,"[15, 16, 17]",0.8159080718165902
smartphone,6,"[18, 19, 20]",0.7666729038621733
smartphone,7,"[21, 22, 23]",0.796661071286187
smartphone,8,"[24, 25, 26]",0.8141716494047273
smartphone,9,"[27, 28, 29]",0.8017513811024171
smartphone,0,"[0, 1, 2]",0.5972100158315438
smartphone,1,"[3, 4, 5]",0.5307608467172565
smartphone,2,"[6, 7, 8]",0.5378528500933036
smartphone,3,"[9, 10, 11]",0.5651493914310374
smartphone,4,"[12, 13, 14]",0.5354529818867441
smartphone,5,"[15, 16, 17]",0.5988704555209298
smartphone,6,"[18, 19, 20]",0.539388904083503
smartphone,7,"[21, 22, 23]",0.609646835116134
smartphone,8,"[24, 25, 26]",0.592441351772798
smartphone,9,"[27, 28, 29]",0.5588040262466617
smartphone,0,"[0, 1, 2]",0.5972100158315438
smartphone,1,"[3, 4, 5]",0.5307608467172565
smartphone,2,"[6, 7, 8]",0.5378528500933036
smartphone,3,"[9, 10, 11]",0.5651493914310374
smartphone,4,"[12, 13, 14]",0.5354529818867441
smartphone,5,"[15, 16, 17]",0.5988704555209298
smartphone,6,"[18, 19, 20]",0.539388904083503
smartphone,7,"[21, 22, 23]",0.609646835116134
smartphone,8,"[24, 25, 26]",0.592441351772798
smartphone,9,"[27, 28, 29]",0.5588040262466617
