scenario,detector_name,best_macro_f1
drift_ot,ADWIN,0.6226004081211929
catch24_drift_ot,ADWIN,0.7216184294668275
drift_ot,PageHinkley,0.5940135660467513
catch24_drift_ot,PageHinkley,0.7018719093068257
drift_ot,KSWIN,0.5884512753957405
catch24_drift_ot,KSWIN,0.7018719093068257
drift_ot,CUSUM,0.5922738418023697
catch24_drift_ot,CUSUM,0.698612432716136
drift_ot,EWMAChart,0.5952014295101222
catch24_drift_ot,EWMAChart,0.7018719093068257
drift_ot,GeometricMovingAverage,0.5952034665947052
catch24_drift_ot,GeometricMovingAverage,0.6963539766601117
drift_ot,HDDMAverage,0.6355748833740696
catch24_drift_ot,HDDMAverage,0.7051202401561849
drift_ot,HDDMWeighted,0.6044958948364675
catch24_drift_ot,HDDMWeighted,0.7018719093068257
drift_ot,SEED,0.6226599495355347
catch24_drift_ot,SEED,0.7442918326953645
