scenario,detector_name,best_macro_f1
catch24,baseline,0.8225976844217732
drift,ADWIN,0.6250465623366563
catch24_drift,ADWIN,0.876575387750272
drift,PageHinkley,0.5988841189187996
catch24_drift,PageHinkley,0.9155002297618813
drift,KSWIN,0.5202364690179635
catch24_drift,KSWIN,0.8963212156926984
drift,CUSUM,0.7069235297135064
catch24_drift,CUSUM,0.8818478287269202
drift,EWMAChart,0.46757607100086995
catch24_drift,EWMAChart,0.848023838099947
drift,GeometricMovingAverage,0.693291303691363
catch24_drift,GeometricMovingAverage,0.8737933724504077
drift,HDDMAverage,0.6613241733614386
catch24_drift,HDDMAverage,0.9213260915358369
drift,HDDMWeighted,0.4998338226654139
catch24_drift,HDDMWeighted,0.8679369339576887
drift,SEED,0.4576131660188175
catch24_drift,SEED,0.8748947745812019
baseline,baseline,0.3248916522349916
