scenario,detector_name,best_macro_f1
drift_ot,ADWIN,0.7087944906233291
catch24_drift_ot,ADWIN,0.8315504741063673
drift_ot,PageHinkley,0.7311347267275063
catch24_drift_ot,PageHinkley,0.859524091057011
drift_ot,KSWIN,0.6438362554956225
catch24_drift_ot,KSWIN,0.8440092218095936
drift_ot,CUSUM,0.7181591561659169
catch24_drift_ot,CUSUM,0.8432714937319465
drift_ot,EWMAChart,0.5383304117443013
catch24_drift_ot,EWMAChart,0.711380906107561
drift_ot,GeometricMovingAverage,0.7350102948683385
catch24_drift_ot,GeometricMovingAverage,0.8256923495918219
drift_ot,HDDMAverage,0.6418048412149617
catch24_drift_ot,HDDMAverage,0.8163069439107632
drift_ot,HDDMWeighted,0.5139505328125874
catch24_drift_ot,HDDMWeighted,0.7387100601570434
drift_ot,SEED,0.7377188999582678
catch24_drift_ot,SEED,0.8303513722496589
